Name,147 2008 2.0 T Spark,147 2008 1.9 JTDM
新車售價,142萬,148萬
車身型式,中型掀背車,中型掀背車
動力型式,汽油,柴油
變速系統,自手排5速,手排6速
排氣量,1970cc,1910cc
能源局公佈平均油耗,12.2km/ltr,16.5km/ltr
燃料稅,6180元,3708元
牌照稅,11230元,11230元
車長(mm),4223mm,4223mm
車寬(mm),1729mm,1729mm
車高(mm),1421mm,1442mm
軸距(mm),2546mm,2546mm
車重(kg),1270kg,1310kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,17.5
最大馬力,150hp@6300rpm,150hp@4000rpm
最大扭力,18.5kgm@3800rpm,32.6kgm@2000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/45R17,215/45R17
後輪尺碼,215/45R17,215/45R17
電動天窗,●,●
感應式雨刷,●,●
旅程電腦,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
後座分離式傾倒,●,●
音響系統,CD,CD
音響喇叭數量,6只,6只
前霧燈,●,●
後霧燈,●,●
