Name,DBS Superleggera 2019 5.2 V12
新車售價,1680萬
車身型式,雙門跑車 Coupe
動力型式,汽油
變速系統,手自排8速
排氣量,5204cc
極速(km/h),340km/h
官方0-100km/h加速(s),3.4s
燃料稅,12180元
牌照稅,46170元
車長(mm),4712mm
車寬(mm),1968mm
車高(mm),1280mm
軸距(mm),2805mm
車重(kg),1693kg
車門數,2門
乘客數,2座
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
最大馬力,725hp@6500rpm
最大扭力,91.8kgm@1800~5000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,265/35 R21
後輪尺碼,305/30 R21
引擎擺放位置,前置
運動外觀套件,●
輪圈規格,21吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,雙區
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
電子懸吊,●
電子手剎車,●
駕駛模式選擇,●
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,●
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
LED日行燈,●
LED尾燈,●
後霧燈,●
引擎啟閉系統,●
