Name,Vanquish 2017 6.0 V12,Vanquish 2017 Volante
新車售價,1680萬,1780萬元起
車身型式,雙門跑車,敞篷車
動力型式,汽油,汽油
變速系統,手自排8速,自排8速
排氣量,5935cc,5935cc
極速(km/h),324km/h,-
官方0-100km/h加速(s),4.1s,4s
能源局公佈平均油耗,8km/ltr,-
能源效率等級,2,-
燃料稅,13080元,13080元
牌照稅,69690元,69690元
車長(mm),4692mm,4692mm
車寬(mm),1912mm,2067mm
車高(mm),1294mm,1294mm
軸距(mm),2740mm,2740mm
車重(kg),1739kg,1844kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),78L,78L
前輪距(mm),1568mm,-
後輪距(mm),1562mm,-
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型12,-
汽門數,48,48
壓縮比,11,11:1
最大馬力,576hp@6750rpm,576hp
最大扭力,64.2kgm@5500rpm,64.5kgm
驅動型式,後輪驅動,前輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,255/35 R20,255/35ZR20
後輪尺碼,305/30 R20,305/30ZR20
引擎擺放位置,前置,前置
運動外觀套件,●,-
感應式雨刷,●,-
後視鏡自動防眩目,車內,-
後視鏡加熱/除霧,●,-
後視鏡記憶,●,-
後視鏡電動折疊,標配,-
後視鏡電動調整,●,-
方向盤調整,電動4向,-
多功能方向盤,●,-
方向盤換檔,●,-
動力方向盤,●,-
旅程電腦,●,-
中央顯示幕,-,●
多功能資訊幕,-,●
Keyless免匙系統,●,-
中控鎖,●,●
衛星導航,-,●
恆溫空調,標配,-
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,-,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,-
動態穩定系統,標配,-
循跡系統,標配,-
定速系統,-,●
倒車雷達,標配,-
防盜系統,-,●
電子差速器,-,●
駕駛模式選擇,●,-
座椅材質,真皮,-
跑車式座椅,-,●
座椅高低調整,●,-
前座座椅調整,●,-
加熱座椅,●,●
通風座椅,●,-
外部音源接入,AUX-IN、USB,aux/usb
多媒體系統,-,AMi III
藍牙通訊,●,●
音響系統,-,●
音響喇叭數量,13,13支
頭燈光源,HID,-
感應頭燈,●,-
主動轉向頭燈,●,-
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,-
