Name,A1 2017 25 TFSI,A1 2017 30 TFSI
新車售價,112萬,137萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,999cc,1395cc
極速(km/h),186km/h,204km/h
官方0-100km/h加速(s),10.9s,8.8s
能源局公佈平均油耗,18.6km/ltr,18km/ltr
能源效率等級,2,1
燃料稅,4320元,4800元
牌照稅,4320元,7120元
車長(mm),3973mm,3973mm
車寬(mm),1740mm,1740mm
車高(mm),1416mm,1416mm
軸距(mm),2469mm,2469mm
車重(kg),1065kg,1115kg
車門數,3門,3門
乘客數,4座,4座
油箱容量(L),45L,45L
行李容積(L),270~920L,270~920L
前輪距(mm),1477mm,1477mm
後輪距(mm),1471mm,1471mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸
汽門數,12,16
最大馬力,95hp@5000~5500rpm,125hp@5000rpm
最大扭力,16.3@1500~3500rpm,20.4kgm@1400~4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞
前輪尺碼,185/60R15,215/45R16
後輪尺碼,185/60R15,215/45R16
引擎擺放位置,前置,前置
輪圈規格,15吋,16吋
後雨刷,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,手動,手動
多功能方向盤,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
中控鎖,●,●
恆溫空調,-,單區
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,ASR,ASR
斜坡起步輔助,●,●
電子差速器,●,●
座椅材質,織布,織布
座椅高低調整,手動,手動
前座座椅調整,●,●
後座分離式傾倒,5/5,5/5
外部音源接入,USB/SD卡,USB/SD卡
多媒體系統,MMI,MMI
藍牙通訊,●,●
音響系統,Concert,Concert
音響喇叭數量,8,8
頭燈光源,鹵素,HID
頭燈水準自動調整,●,●
LED日行燈,-,●
前霧燈,-,●
後霧燈,●,●
引擎啟閉系統,●,●
