Name,A3 Sedan 2018 35 TFSI Premium,A3 Sedan 2018 S3 Sedan
新車售價,156萬,255萬
車身型式,四門轎車 Sedan,四門轎車 Sedan
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,1498cc,1984cc
極速(km/h),224km/h,250km/h
官方0-100km/h加速(s),8.2s,4.6s
燃料稅,4800元,6180元
牌照稅,7120元,11230元
車長(mm),4458mm,4466mm
車寬(mm),1796mm,1796mm
車高(mm),1416mm,1392mm
軸距(mm),2637mm,2631mm
車重(kg),1245kg,1470kg
車門數,4門,5門
乘客數,5座,5座
油箱容量(L),50L,55L
行李容積(L),425L,390L
前輪距(mm),1555mm,1551mm
後輪距(mm),1526mm,1526mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,150hp/5000~6000rpm,310hp/5500~6500rpm
最大扭力,25.5kgm/1550~3500rpm,40.8kgm/2000~5400rpm
驅動型式,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/40R18
後輪尺碼,225/45R17,225/40R18
引擎擺放位置,前置,前置
電動天窗,-,●
運動外觀套件,-,●
車頂行李架,-,●
玻璃車頂,-,●
輪圈規格,17吋,18吋
後雨刷,-,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,-,●
恆溫空調,雙區,雙區
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,ASR,ASR
主動安全預防系統,●,●
斜坡起步輔助,-,●
定速系統,-,●
自動停車系統,●,●
駕駛警示系統,-,●
倒車雷達,前後,前後
倒車顯影系統,●,●
電子懸吊,-,●
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,-
跑車式座椅,-,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,●,●
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,19
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
