Name,A4 Allroad 2018 45 TFSI quattro
新車售價,290萬
車身型式,五門旅行車 Wagon
動力型式,汽油
變速系統,自手排7速
排氣量,1984cc
極速(km/h),246km/h
官方0-100km/h加速(s),6.1s
燃料稅,6180元
牌照稅,11230元
車長(mm),4750mm
車寬(mm),1842mm
車高(mm),1493mm
軸距(mm),2818mm
車重(kg),1580kg
車門數,5門
乘客數,5座
油箱容量(L),58L
行李容積(L),505~1510L
前輪距(mm),1578mm
後輪距(mm),1566mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
最大馬力,252hp@5000~6000rpm
最大扭力,37.7kgm@1600~4500rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/55R17
後輪尺碼,225/55R17
引擎擺放位置,前置
電動天窗,●
運動外觀套件,○
電動開闔尾門/行李蓋,●
車頂行李架,●
輪圈規格,17吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,三區
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBA
動態穩定系統,ESC
循跡系統,ESP
斜坡起步輔助,●
定速系統,●
自動停車系統,○
盲點偵測系統,○
駕駛警示系統,●
倒車雷達,前後
倒車顯影系統,●
防盜系統,●
電子懸吊,○
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
後座分離式傾倒,4/2/4
座椅記憶功能,●
加熱座椅,○
通風座椅,○
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,8.3吋
藍牙通訊,●
音響系統,●
音響喇叭數量,10
後座影音功能,○
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
