Name,A5 Coupe 2018 40 TFSI
新車售價,217萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,1984cc
極速(km/h),240km/h
官方0-100km/h加速(s),7.3s
能源局公佈平均油耗,15.6km/ltr
能源效率等級,1級
燃料稅,6180元
牌照稅,11230元
車長(mm),4673mm
車寬(mm),1846mm
車高(mm),1371mm
軸距(mm),2764mm
車重(kg),1495kg
車門數,2門
乘客數,4座
油箱容量(L),54L
行李容積(L),465L
前輪距(mm),1587mm
後輪距(mm),1568mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
最大馬力,190hp@4200~6000rpm
最大扭力,32.6kgm@1450~4200rpm
驅動型式,前輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,245/40R18
後輪尺碼,245/40R18
引擎擺放位置,前置
輪圈規格,18吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,ASR
定速系統,●
自動停車系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
後座分離式傾倒,4/2/4
後座扶手,●
外部音源接入,SD/USB/Aux-In
多媒體系統,8.3吋
藍牙通訊,●
音響系統,MP3/WMA
音響喇叭數量,10
頭燈光源,LED
感應頭燈,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
