Name,A5 Sportback 2018 40 TFSI Premium Plus,A5 Sportback 2018 40 TFSI S Line,A5 Sportback 2018 45 TFSI quattro S Line
新車售價,225萬,235萬,283萬
車身型式,中大型房車,中大型房車,中大型房車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1984cc,1984cc,1984cc
極速(km/h),237km/h,237km/h,250km/h
官方0-100km/h加速(s),7.5s,7.5s,6.0s
能源局公佈平均油耗,15.3km/ltr,15.3km/ltr,-
能源效率等級,1級,1級,-
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4733mm,4733mm,4733mm
車寬(mm),1843mm,1843mm,1843mm
車高(mm),1386mm,1386mm,1386mm
軸距(mm),2824mm,2824mm,2824mm
車重(kg),1535kg,1535kg,1610kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),54L,54L,58L
行李容積(L),480L,480L,480L
前輪距(mm),1587mm,1587mm,1587mm
後輪距(mm),1568mm,1568mm,1568mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,190hp@4200~6000rpm,190hp@4200~6000rpm,252hp@5000~6000rpm
最大扭力,32.6kgm@1450~4200rpm,32.6kgm@1450~4200rpm,37.7kgm@1600~4500rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/40R18,245/40R18,255/35R19
後輪尺碼,245/40R18,245/40R18,255/35R19
引擎擺放位置,前置,前置,前置
電動天窗,-,-,全景式
運動外觀套件,-,●,●
電動開闔尾門/行李蓋,●,●,●
輪圈規格,18吋,18吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,車內,車內,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,-,-,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,三區,三區,三區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,ASR,ASR,ASR
主動安全預防系統,●,●,●
定速系統,●,●,●
自動停車系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,-,●,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,-,-,●
前座座椅調整,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8.3吋,8.3吋,8.3吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,10,10,10
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
