Name,A6 Allroad 2018 50 TDI
新車售價,354萬
車身型式,Wagon旅行車
動力型式,柴油
變速系統,自手排7速
排氣量,2967cc
極速(km/h),250km/h
官方0-100km/h加速(s),6.2s
能源局公佈平均油耗,14.3km/ltr
能源效率等級,1級
燃料稅,4320元
實測0-100km/h加速(s),5.8s
牌照稅,15210元
車長(mm),4938mm
車寬(mm),1898mm
車高(mm),1451mm
軸距(mm),2905mm
車重(kg),1895kg
車門數,5門
乘客數,5座
油箱容量(L),73L
行李容積(L),565-1680L
前輪距(mm),1631mm
後輪距(mm),1596mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
最大馬力,272hp@3500-4250rpm
最大扭力,59.2kgm@1250-3250rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/55R18
後輪尺碼,235/55R18
引擎擺放位置,前置
電動天窗,●
運動外觀套件,●
電動開闔尾門/行李蓋,●
車頂行李架,●
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
環景影像系統,○
Keyless免匙系統,○
中控鎖,●
衛星導航,●
恆溫空調,雙區
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESP
車道偏離警示,○
循跡系統,ASR
定速系統,●
盲點偵測系統,○
倒車雷達,前後
倒車顯影系統,●
氣壓懸吊,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,○
後座分離式傾倒,6/4
座椅記憶功能,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,8吋
藍牙通訊,●
音響系統,●
音響喇叭數量,10
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
自適應遠近光,○
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
