Name,A8 2018 50 TDI quattro,A8 2018 50 TFSI quattro,A8 2018 L 50 TDI quattro,A8 2018 L 50 TFSI quattro,A8 2018 S8 plus
新車售價,389萬,438萬,448萬,524萬,810萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,柴油,汽油,柴油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2992cc,2995cc,2967cc,2995cc,3993cc
極速(km/h),250km/h,250km/h,250km/h,250km/h,250km/h
官方0-100km/h加速(s),5.9s,5.7s,6.1s,5.8s,3.8s
能源局公佈平均油耗,14.2km/ltr,10.8km/ltr,14.6km/ltr,9.5km/ltr,8.5km/ltr
燃料稅,4320元,7200元,4320元,7200元,9810元
牌照稅,15210元,15210元,15210元,15210元,28220元
車長(mm),5135mm,5135mm,5265mm,5265mm,5147mm
車寬(mm),1949mm,1949mm,1949mm,1949mm,1949mm
車高(mm),1460mm,1460mm,1471mm,1471mm,1458mm
軸距(mm),2992mm,2992mm,3122mm,3122mm,2994mm
車重(kg),1880kg,1830kg,1935kg,1880kg,1990kg
車門數,4門,4門,4門,4門,4門
乘客數,5座,5座,4座,4座,4座
油箱容量(L),82L,82L,82L,82L,82L
行李容積(L),490L,520L,490L,520L,520L
前輪距(mm),1664mm,1664mm,1644mm,1664mm,1632mm
後輪距(mm),1635mm,1635mm,1635mm,1635mm,1623mm
進氣型式,渦輪增壓,機械增壓,渦輪增壓,機械增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型6缸,V型8缸
汽門數,24,24,24,24,32
壓縮比,-,-,-,-,9.3
最大馬力,262hp@4000~4250rpm,333hp@5500~6500rpm,262hp@4000~4250rpm,333hp@5500~6500rpm,605hp@5800rpm
最大扭力,59.2kgm@1750~2500rpm,44.9kgm@2900~5300rpm,59.2kgm@1750~2500rpm,44.9kgm@2900~5300rpm,71.4kgm@1700~5500rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/55R18,235/55R18,255/45R19,275/35R21
後輪尺碼,235/55R18,235/55R18,235/55R18,255/45R19,275/35R21
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,●,●,●,●,●
車門自動吸附,●,●,●,●,-
電動開闔尾門/行李蓋,●,●,●,●,●
輪圈規格,-,-,-,-,21吋
後雨刷,-,-,-,-,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡記憶,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,-,-,●
環景影像系統,-,-,-,-,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
衛星導航,●,●,●,●,●
恆溫空調,4區,4區,4區,4區,四區
後座出風口,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
後座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,-,-,●,-,-
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC,ESC,ESC
車道偏離警示,●,●,●,●,●
循跡系統,ASR,ASR,ASR,ASR,ASR
主動安全預防系統,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
自動停車系統,-,-,-,-,●
盲點偵測系統,-,-,-,●,●
駕駛警示系統,-,-,-,-,●
倒車雷達,前後,-,前後,前後,前後
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
主動式智慧定速系統,-,-,-,-,●
氣壓懸吊,●,-,●,●,-
電子懸吊,-,-,-,-,●
電子差速器,●,●,●,●,●
電子手剎車,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮
跑車式座椅,-,-,-,-,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●
後座座椅調整,-,-,●,●,●
後座前後滑移,-,-,●,●,●
座椅記憶功能,●,●,●,●,●
加熱座椅,-,-,●,●,●
通風座椅,-,-,-,-,●
按摩座椅,-,-,-,-,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋,●
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,14,14,14,14,19
頭燈光源,HID,HID,HID,LED,LED
感應頭燈,●,●,●,●,●
主動轉向頭燈,●,●,●,●,●
頭燈水準自動調整,●,●,●,●,●
自適應遠近光,-,-,-,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,-,-,-,●,●
後霧燈,●,●,●,●,●
轉向輔助照明,-,-,-,●,-
引擎啟閉系統,●,●,●,●,●
