Name,Q2 2018 35 TFSI,Q2 2018 35 TFSI Luxury,Q2 2018 35 TFSI Sport
新車售價,139萬,143萬,154萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1395cc,1395cc,1395cc
極速(km/h),212km/h,212km/h,212km/h
官方0-100km/h加速(s),8.5s,8.5s,8.5s
能源局公佈平均油耗,15.8km/ltr,15.8km/ltr,15.8km/ltr
能源效率等級,1,1,1
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4191mm,4191mm,4191mm
車寬(mm),1794mm,1794mm,1794mm
車高(mm),1508mm,1508mm,1508mm
軸距(mm),2601mm,2601mm,2601mm
車重(kg),1280kg,1280kg,1280kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),405~1050L,405~1050L,405~1050L
前輪距(mm),1547mm,1547mm,1547mm
後輪距(mm),1541mm,1541mm,1541mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,150hp/5000~6000rpm,150hp/5000~6000rpm,150hp/5000~6000rpm
最大扭力,25.5kgm/1500~3500rpm,25.5kgm/1500~3500rpm,25.5kgm/1500~3500rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/60R16,215/55R17,215/55R17
後輪尺碼,215/60R16,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置
運動外觀套件,-,○,●
輪圈規格,16吋,17吋,17吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,○,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,-,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,-,●,-
中控鎖,●,●,●
恆溫空調,-,雙區,雙區
後座出風口,-,●,-
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,ASR,ASR,ASR
斜坡起步輔助,●,●,●
定速系統,-,●,●
自動停車系統,○,○,○
駕駛警示系統,-,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,-,●,-
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,織布,皮革,織布
跑車式座椅,-,-,●
座椅高低調整,手動,手動,手動
腰部支撐調整,手動,手動,手動
前座座椅調整,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
外部音源接入,●,●,●
多媒體系統,7吋,7吋,7吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,10,10,10
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
