Name,Q3 2018 30 TFSI,Q3 2018 35 TFSI quattro
新車售價,171萬,199萬
車身型式,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油
變速系統,自手排6速,自手排7速雙離合
排氣量,1395cc,1984cc
極速(km/h),204km/h,217km/h
官方0-100km/h加速(s),8.9s,7.6s
能源局公佈平均油耗,14.3km/ltr,11.7km/ltr
燃料稅,4800元,6180元
牌照稅,7120元,11230元
車長(mm),4388mm,4388mm
車寬(mm),1831mm,1831mm
車高(mm),1608mm,1608mm
軸距(mm),2603mm,2603mm
車重(kg),1394kg,1540kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),64L,64L
行李容積(L),460~1365L,460~1365L
前輪距(mm),1571mm,1571mm
後輪距(mm),1575mm,1575mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,150hp@5000~6000rpm,180hp@4000~6200rpm
最大扭力,25.5kgm@1750~3000rpm,32.6kgm@1400~3900rpm
驅動型式,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/55R17,235/50R18
後輪尺碼,235/55R17,235/50R18
引擎擺放位置,前置,前置
電動天窗,-,●
電動開闔尾門/行李蓋,●,●
車頂行李架,●,●
輪圈規格,17吋,18吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,-
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,○,-
恆溫空調,雙區,雙區
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,ASR,ASR
斜坡起步輔助,●,●
陡坡緩降系統,●,-
定速系統,●,●
倒車雷達,前後,前後
倒車顯影系統,●,●
防盜系統,●,●
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,-,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,4/6,4/6
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,8,8
頭燈光源,HID,LED
感應頭燈,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,-
後霧燈,●,●
引擎啟閉系統,●,●
