Name,Q7 2018 40 TFSI quattro 5Seats,Q7 2018 40 TFSI quattro 7Seats,Q7 2018 40 TFSI quattro Luxury 7Seats,Q7 2018 45 TDI quattro 7Seats,Q7 2018 45 TFSI quattro 7Seats,Q7 2018 SQ7
新車售價,288萬,296萬,310萬,372萬,388萬,520萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油,汽油,柴油,汽油,柴油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1984cc,1984cc,1984cc,2967cc,2995cc,3956cc
極速(km/h),233km/h,233km/h,233km/h,234km/h,250km/h,250km/h
官方0-100km/h加速(s),7.1s,7.1s,7.1s,6.5s,6.3s,4.9s
燃料稅,6180元,6180元,6180元,4320元,7200元,7200元
牌照稅,11230元,11230元,11230元,15210元,15210元,15210元
車長(mm),5052mm,5052mm,5052mm,5052mm,5052mm,5069mm
車寬(mm),1968mm,1968mm,1968mm,1968mm,1968mm,1968mm
車高(mm),1741mm,1741mm,1741mm,1741mm,1741mm,1740mm
軸距(mm),2994mm,2994mm,2994mm,2994mm,2994mm,2996mm
車重(kg),1975kg,1975kg,1975kg,2060kg,2030kg,2330kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,7座,7座,7座,7座,7座
油箱容量(L),75L,75L,75L,85L,85L,85L
行李容積(L),295~1955L,295~1955L,295~1955L,295~1955L,295~1955L,295~1890L
前輪距(mm),1679mm,1679mm,1679mm,1679mm,1679mm,1679mm
後輪距(mm),1691mm,1691mm,1691mm,1691mm,1691mm,1679mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,機械增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,V型6缸,V型6缸,V型8缸
汽門數,16,16,16,24,24,32
壓縮比,9.6,9.6,9.6,16,10.8,-
最大馬力,252hp@5000~6000rpm,252hp@5000~6000rpm,252hp@5000~6000rpm,272hp@3250~4250rpm,333hp@5500~6500rpm,435hp@3750~5000rpm
最大扭力,37.8kgm@1600~4500rpm,37.8kgm@1600~4500rpm,37.8kgm@1600~4500rpm,61.2kgm@1500~3000rpm,44.9kgm@2900~5300rpm,91.8kgm@1000~3250rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/65R18,235/65R18,255/55R19,255/55R19,255/45R20,285/40R21
後輪尺碼,235/65R18,235/65R18,255/55R19,255/55R19,255/45R20,285/40R21
引擎擺放位置,前置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,-,●
電動開闔尾門/行李蓋,●,●,●,●,●,●
車頂行李架,●,●,●,●,●,●
輪圈規格,18吋,18吋,19吋,19吋,20吋,21吋
後雨刷,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●,●
後視鏡記憶,●,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,●,●,●,電動,●,電動
多功能方向盤,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
多功能資訊幕,-,-,●,●,●,●
環景影像系統,-,-,-,-,-,●
Keyless免匙系統,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●
衛星導航,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●
後座出風口,●,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
後座側面氣囊,-,-,-,-,-,●
側面氣簾,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,●,●,●,●,●,EBD
動態穩定系統,●,●,●,●,●,ESC
車道偏離警示,●,●,●,●,●,●
循跡系統,●,●,●,●,●,ASR
主動安全預防系統,-,-,-,●,-,●
斜坡起步輔助,●,●,●,●,-,●
定速系統,●,●,●,●,●,●
自動停車系統,-,-,-,-,-,●
盲點偵測系統,●,●,●,●,●,●
駕駛警示系統,-,-,-,-,-,●
倒車雷達,前後,前後,前後,●,前後,前後
倒車顯影系統,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●
主動式智慧定速系統,-,-,-,●,●,●
氣壓懸吊,-,-,-,-,-,●
電子懸吊,-,-,-,-,-,●
電子差速器,●,●,●,●,●,●
電子手剎車,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,電動
前座座椅調整,●,●,●,●,●,●
後座座椅調整,●,●,-,-,-,-
後座前後滑移,●,●,●,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4,●
