Name,R8 2018 V10,R8 2018 V10 Plus
新車售價,999萬,1108萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,5204cc,5204cc
極速(km/h),320km/h,330km/h
官方0-100km/h加速(s),3.5s,3.2s
能源局公佈平均油耗,7.0km/ltr,6.9km/ltr
能源效率等級,4級,4級
燃料稅,12180元,12180元
牌照稅,46170元,46170元
車長(mm),4426mm,4426mm
車寬(mm),1940mm,1940mm
車高(mm),1240mm,1240mm
軸距(mm),2650mm,2650mm
車重(kg),1595kg,1555kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),83L,83L
行李容積(L),112L,112L
前輪距(mm),1638mm,1638mm
後輪距(mm),1599mm,1599mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型10缸,V型10缸
汽門數,40,40
最大馬力,540hp@7800rpm,610hp@8250kgm
最大扭力,55.1kgm@6500rpm,57.1kgm@6500rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/35R19,245/30R20
後輪尺碼,295/35R19,305/30R20
引擎擺放位置,中置,中置
運動外觀套件,●,●
輪圈規格,19吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,-
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,-
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,ASR,ASR
斜坡起步輔助,●,-
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
電子懸吊,●,●
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
座椅記憶功能,-,●
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
