Name,RS 5 2018 2.9L V6
新車售價,480萬
車身型式,雙門跑車 Coupe
動力型式,汽油
變速系統,手自排8速
排氣量,2894cc
極速(km/h),250km/h
官方0-100km/h加速(s),3.9s
燃料稅,7200元
牌照稅,15210元
車長(mm),4723mm
車寬(mm),1861mm
車高(mm),1360mm
軸距(mm),2766mm
車重(kg),1655kg
車門數,3門
乘客數,4座
油箱容量(L),58L
行李容積(L),465L
前輪距(mm),1598mm
後輪距(mm),1588mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
最大馬力,450hp@5700~6700rpm
最大扭力,61.1kgm@1900~5000rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,四輪碟煞
前輪尺碼,275/30 R20
後輪尺碼,275/30 R20
引擎擺放位置,前置
電動天窗,●
運動外觀套件,●
輪圈規格,20吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,ASR
斜坡起步輔助,●
定速系統,●
自動停車系統,●
盲點偵測系統,●
倒車雷達,●
倒車顯影系統,●
主動式智慧定速系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,皮革
跑車式座椅,●
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座電動
前座座椅調整,●
座椅記憶功能,●
按摩座椅,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,19
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
