Name,RS 6 Avant 2018 performance
新車售價,740萬
車身型式,五門旅行車 Wagon
動力型式,汽油
變速系統,手自排8速
排氣量,3993cc
極速(km/h),250km/h
官方0-100km/h加速(s),3.7s
燃料稅,9810元
牌照稅,28220元
車長(mm),4979mm
車寬(mm),1936mm
車高(mm),1482mm
軸距(mm),2915mm
車重(kg),1950kg
車門數,5門
乘客數,5座
油箱容量(L),75L
行李容積(L),565-1680L
前輪距(mm),1662mm
後輪距(mm),1663mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,605hp@6100~6800rpm
最大扭力,71.4kgm@1750~6000rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,285/30R21
後輪尺碼,285/30R21
引擎擺放位置,前置
電動天窗,●
運動外觀套件,●
電動開闔尾門/行李蓋,●
車頂行李架,●
輪圈規格,21吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,4區
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
車道偏離警示,●
循跡系統,ASR
主動安全預防系統,●
定速系統,●
自動停車系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
後座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,14
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
後霧燈,●
引擎啟閉系統,●
