Name,RS Q3 2017 RS Q3
新車售價,308萬
車身型式,小型SUV休旅
動力型式,汽油
變速系統,自手排7速
排氣量,2480cc
極速(km/h),250km/h
官方0-100km/h加速(s),4.8s
燃料稅,7200元
牌照稅,15210元
車長(mm),4411mm
車寬(mm),1841mm
車高(mm),1580mm
軸距(mm),2603mm
車重(kg),1655kg
車門數,5門
乘客數,5座
油箱容量(L),64L
行李容積(L),356~1261L
前輪距(mm),1571mm
後輪距(mm),1577mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列5缸
汽門數,20
最大馬力,340hp/5300~6700rpm
最大扭力,45.9kgm/1600~5300rpm
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/50R18
後輪尺碼,235/50R18
引擎擺放位置,前置
電動天窗,全景式
運動外觀套件,●
車頂行李架,●
輪圈規格,18吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,ESC
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,SD卡、USB、Aux-In
多媒體系統,MMI
藍牙通訊,●
音響系統,●
音響喇叭數量,10支
頭燈光源,●
感應頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
轉向輔助照明,●
引擎啟閉系統,●
