Name,S5 Coupe 2018 Coupe
新車售價,347萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,2995cc
極速(km/h),250km/h
官方0-100km/h加速(s),4.9s
能源局公佈平均油耗,9.6km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),4640mm
車寬(mm),1854mm
車高(mm),1369mm
軸距(mm),2751mm
車重(kg),1675kg
車門數,3門
乘客數,4座
油箱容量(L),61L
行李容積(L),455~829L
前輪距(mm),1588mm
後輪距(mm),1575mm
進氣型式,機械增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
最大馬力,333hp@5500rpm~6500rpm
最大扭力,44.9kgm@2900~5300rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/35R19
後輪尺碼,255/35R19
引擎擺放位置,前置
電動天窗,標配
運動外觀套件,●
感應式雨刷,●
後視鏡自動防眩目,標配
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,標配
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,三區
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,ASR
斜坡起步輔助,●
定速系統,●
倒車雷達,前後
倒車顯影系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,電動
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,標配
外部音源接入,Aux-In/USB/SD卡
多媒體系統,MMI
藍牙通訊,●
音響系統,CD、MP3
音響喇叭數量,10只
頭燈光源,HID
感應頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,標配
