Name,S6 Avant 2008 Sedan
新車售價,509萬
車身型式,中大型房車
動力型式,汽油
變速系統,手自排6速
排氣量,5204cc
能源局公佈平均油耗,7.5km/ltr
燃料稅,12180元
牌照稅,46170元
車長(mm),4916mm
車寬(mm),1864mm
車高(mm),1449mm
軸距(mm),2847mm
車重(kg),1910kg
車門數,4門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型10缸
汽門數,40
壓縮比,12.5
最大馬力,435hp@6800rpm
最大扭力,55.1kgm@3000~4000rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/40R18
後輪尺碼,255/40R18
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡方向指示燈,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
外部音源接入,SD
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,10只
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
前霧燈,●
後霧燈,●
