Name,TT 2017 45 TFSI,TT 2017 TTS
新車售價,250萬,317萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,自手排6速,自手排6速
排氣量,1984cc,1984cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),5.3s,4.6s
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4177mm,4191mm
車寬(mm),1832mm,1832mm
車高(mm),1353mm,1343mm
軸距(mm),2505mm,2505mm
車重(kg),1335kg,1385kg
車門數,3門,3門
乘客數,4座,4座
油箱容量(L),55L,55L
行李容積(L),305~712L,305~712L
前輪距(mm),1572mm,1574mm
後輪距(mm),1552mm,1553mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,230hp@4500~6200rpm,310hp@5800~6200rpm
最大扭力,37.7kgm@1600~4300rpm,38.7kgm@1800~5700
驅動型式,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/40R18,245/40R18
後輪尺碼,245/40R18,245/40R18
引擎擺放位置,前置,前置
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
中控鎖,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,ASR,ASR
定速系統,-,●
倒車雷達,●,●
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,●,●
腰部支撐調整,●,●
前座座椅調整,●,●
外部音源接入,AUX-IN/USB/SD卡,AUX-IN/USB/SD卡
多媒體系統,MMI,MMI
藍牙通訊,-,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,9只,9只
頭燈光源,HID,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
