Name,1-Series Hatchback 2019 118i領航版,1-Series Hatchback 2019 120i M Sport領航版,1-Series Hatchback 2019 125i M Sport領航版,1-Series Hatchback 2019 M140i Shadow Edition
新車售價,156萬,176萬,206萬,249萬
車身型式,小型掀背車,小型掀背車,-,小型掀背車
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1499cc,1998cc,1997cc,2998cc
官方0-100km/h加速(s),8.7s,7.1s,6.1s,4.6s
能源局公佈平均油耗,16.2km/ltr,14.5km/ltr,14.6km/ltr,12.7km/ltr
能源效率等級,1級,1級,1級,1級
燃料稅,4800元,6180元,6180元,7200元
牌照稅,7120元,11230元,11230元,15210元
車長(mm),4329mm,4329mm,4329mm,4324mm
車寬(mm),1765mm,1765mm,1765mm,1765mm
車高(mm),1421mm,1421mm,1411mm,1411mm
軸距(mm),2690mm,2690mm,2690mm,2690mm
車重(kg),1320kg,1380kg,1400kg,1475kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),52L,52L,52L,52L
行李容積(L),360~1200L,360~1200L,360~1200L,360~1200L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸,直列4缸,直列6缸
汽門數,12,16,16,24
壓縮比,-,10.5,10,-
最大馬力,136hp@4500rpm,184hp@5000rpm,224hp@5200rpm,340hp@5500 rpm
最大扭力,22.4kgm@1250rpm,27.5kgm@1350rpm,31.6kgm@1400rpm,51.0kgm@1520 rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/50R17,225/40R18,225/40R18,225/40R18
後輪尺碼,205/50R17,245/35R18,245/35R18,245/35R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,○,○,●,●
運動外觀套件,-,●,●,●
輪圈規格,17吋,18吋,18吋,18吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,●,●,●,-
後視鏡加熱/除霧,●,●,●,●
後視鏡記憶,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,-,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
失壓續跑胎,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,●,●,●,●
動態穩定系統,DSC,DSC,DSC,DSC
車道偏離警示,●,●,●,●
循跡系統,●,●,●,●
主動安全預防系統,●,●,●,●
定速系統,●,●,●,●
駕駛警示系統,●,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
電子懸吊,-,-,-,●
駕駛模式選擇,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革
跑車式座椅,-,●,●,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,-,-
後座座椅調整,●,-,-,-
後座分離式傾倒,6/4,6/4,6/4,6/4
座椅記憶功能,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,8.8吋,8.8吋,8.8吋,8.8吋
藍牙通訊,●,●,●,●
音響系統,●,MP3/CD,●,●
音響喇叭數量,6,6,12,12
頭燈光源,LED,LED,LED,LED
感應頭燈,●,●,●,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
車輛動能回收系統,●,●,●,●
引擎啟閉系統,●,●,●,●
