Name,2-Series Coupe 2018 220i M Sport,2-Series Coupe 2018 M240i
新車售價,186萬,265萬
車身型式,雙門跑車 Coupe,雙門跑車 Coupe
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,1997cc,2998cc
極速(km/h),-,250km/h
官方0-100km/h加速(s),7.2s,4.6s
能源局公佈平均油耗,13.5km/ltr,11.9km/ltr
能源效率等級,2級,1級
燃料稅,6180元,7200元
實測0-100km/h加速(s),7.18s,-
牌照稅,11230元,15210元
車長(mm),4432mm,4454mm
車寬(mm),1774mm,1774mm
車高(mm),1418mm,1408mm
軸距(mm),2690mm,2690mm
車重(kg),1365kg,1470kg
車門數,2門,2門
乘客數,4座,4座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列6缸
汽門數,16,24
壓縮比,11,-
最大馬力,184hp@5000rpm,340hp@5500rpm
最大扭力,27.5kgm@1250rpm,51.0kgm@1500rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/40R18
後輪尺碼,245/40R17,245/35R18
引擎擺放位置,前置,前置
電動天窗,-,●
運動外觀套件,●,●
輪圈規格,17吋,18吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,○,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,-,●
動態穩定系統,DSC,DSC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,-,●
定速系統,●,●
駕駛警示系統,●,●
倒車雷達,前後,前後
倒車顯影系統,●,●
防盜系統,●,●
駕駛模式選擇,●,●
座椅材質,-,皮布雙織
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,-,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
座椅記憶功能,●,●
後座杯架,●,●
外部音源接入,●,●
多媒體系統,6.5吋,8.8吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,7
頭燈光源,LED,LED
感應頭燈,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,-
後霧燈,●,●
車輛動能回收系統,●,●
引擎啟閉系統,●,●
