Name,3-Series Convertible 2013 320i,3-Series Convertible 2013 335i
新車售價,251萬,420萬
車身型式,敞篷車,敞篷車
動力型式,汽油,汽油
變速系統,手自排6速,自手排7速雙離合
排氣量,1995cc,2979cc
能源局公佈平均油耗,11.2km/ltr,11.3km/ltr
燃料稅,6180元,7200元
牌照稅,11230元,15210元
車長(mm),4612mm,4612mm
車寬(mm),1782mm,1782mm
車高(mm),1384mm,1384mm
軸距(mm),2760mm,2760mm
車重(kg),1625kg,1750kg
車門數,2門,2門
乘客數,4座,4座
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列6缸
汽門數,16,24
壓縮比,10.5,10.2
最大馬力,156hp@6400rpm,306hp@5800rpm
最大扭力,20.4kgm@3600rpm,40.8kgm@1200rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/35R19 255/30R19
後輪尺碼,225/45R17,225/35R19 255/30R19
感應式雨刷,●,●
方向盤換檔,-,●
旅程電腦,●,●
中央顯示幕,-,●
Keyless免匙系統,●,●
衛星導航,-,●
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,-
倒車顯影系統,-,●
防盜系統,●,●
跑車式座椅,-,●
腰部支撐調整,-,電動
前座座椅調整,●,●
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,AUX-IN,USB、AUX-IN
藍牙通訊,●,●
音響系統,MP3、CD,MP3、DVD、CD
音響喇叭數量,6只,11只
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,-,●
前霧燈,●,●
後霧燈,●,●
