Name,6-Series 2010 630i,6-Series 2010 650i
新車售價,417萬,526萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,2996cc,4799cc
能源局公佈平均油耗,9.9km/ltr,9.7km/ltr
燃料稅,7200元,11220元
牌照稅,15210元,46170元
車長(mm),4820mm,4820mm
車寬(mm),1855mm,1855mm
車高(mm),1373mm,1373mm
軸距(mm),2780mm,2780mm
車重(kg),1540kg,1650kg
車門數,2門,2門
乘客數,4座,4座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列6缸,V型8缸
汽門數,24,32
壓縮比,10.7,12
最大馬力,272hp@6650rpm,367hp@6300rpm
最大扭力,32.6kgm@2750rpm,50.0kgm@3400rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/4R18,245/40R19 275/35R19
後輪尺碼,245/4R18,245/40R19 275/35R19
電動天窗,●,●
感應式雨刷,●,●
方向盤換檔,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
前座座椅調整,●,●
後座杯架,●,●
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,13只
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,●,●
前霧燈,●,●
後霧燈,●,●
