Name,X5 M 2018 4.4T
新車售價,647萬
車身型式,豪華SUV休旅
動力型式,汽油
變速系統,手自排8速
排氣量,4395cc
極速(km/h),250km/h
官方0-100km/h加速(s),4.2s
能源局公佈平均油耗,7.8km/ltr
能源效率等級,2級
燃料稅,11220元
牌照稅,46170元
車長(mm),4880mm
車寬(mm),1985mm
車高(mm),1717mm
軸距(mm),2933mm
車重(kg),2275kg
車門數,5門
乘客數,5座
油箱容量(L),85L
行李容積(L),650~1870L
進氣型式,雙增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,575hp@6000rpm
最大扭力,76.5kgm@2200rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,285/40R20
後輪尺碼,325/35R20
引擎擺放位置,前置
電動天窗,●
車門自動吸附,●
電動開闔尾門/行李蓋,●
車頂行李架,●
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,●
環景影像系統,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
失壓續跑胎,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,DSC
循跡系統,●
斜坡起步輔助,●
陡坡緩降系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
通風座椅,●
後座杯架,●
後座扶手,●
外部音源接入,Aux-IN/MP3
多媒體系統,i-Drive
藍牙通訊,●
音響系統,CD、MP3
音響喇叭數量,16
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
