Name,X5 2019 xDrive30d 豪華版,X5 2019 xDrive40i 豪華版,X5 2019 xDrive30d 旗艦版,X5 2019 xDrive40i 旗艦版,X5 2019 M50d
新車售價,343萬,343萬,373萬,373萬,535萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,汽油,柴油,汽油,柴油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2993cc,2998cc,2993cc,2998cc,2993cc
官方0-100km/h加速(s),6.5s,5.5s,6.5s,5.5s,5.2s
能源局公佈平均油耗,-,10.5km/ltr,-,-,-
能源效率等級,-,1,-,-,-
燃料稅,4320元,7200元,4320元,7200元,4320元
牌照稅,15210元,15210元,15210元,15210元,15210元
車長(mm),4922mm,4922mm,4922mm,4922mm,4922mm
車寬(mm),2004mm,2004mm,2004mm,2004mm,2004mm
車高(mm),1745mm,1745mm,1745mm,1745mm,1745mm
軸距(mm),2975mm,2975mm,2975mm,2975mm,2975mm
車重(kg),2110kg,2060kg,2110kg,2060kg,2275kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列6缸,直列6缸,直列6缸,直列6缸,直列6缸
汽門數,24,24,24,24,24
最大馬力,265hp@4000rpm,340hp@5500rpm,265hp@4000rpm,340hp@5500rpm,400hp@4400rpm
最大扭力,63.2kgm@2000rpm,45.9kgm@1500rpm,63.2kgm@2000rpm,45.9kgm@1500rpm,77.5kgm@2000rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,265/50R19,265/50R19,275/45R20,275/45R20,275/40R21
後輪尺碼,265/50R19,265/50R19,305/40R20,305/40R20,315/35R21
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,○,●,●,●,●
運動外觀套件,○,○,○,○,●
電動開闔尾門/行李蓋,●,●,●,●,●
車頂行李架,●,●,●,●,●
輪圈規格,19吋,19吋,20吋,20吋,21吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡記憶,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
抬頭顯示幕,○,○,○,○,●
環景影像系統,○,○,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
衛星導航,●,●,●,●,●
恆溫空調,四區,四區,四區,四區,四區
後座出風口,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
胎壓偵測,●,●,●,●,●
失壓續跑胎,●,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,●,●,●,●,●
動態穩定系統,DSC,DSC,DSC,DSC,DSC
車道偏離警示,●,●,●,●,●
循跡系統,●,●,●,●,●
主動安全預防系統,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●
定速系統,●,●,●,●,●
自動停車系統,●,●,●,●,●
盲點偵測系統,●,●,●,●,●
駕駛警示系統,●,●,●,●,●
倒車雷達,前後,前後,前後,前後,前後
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
主動式智慧定速系統,●,●,●,●,●
電子懸吊,●,●,●,-,●
電子手剎車,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮
跑車式座椅,●,●,●,●,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4
座椅記憶功能,●,●,●,●,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,12.3吋,12.3吋,12.3吋,12.3吋,12.3吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,10,10,16,16,18
頭燈光源,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
車輛動能回收系統,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●
