Name,Bentayga 2018 Diesel,Bentayga 2018 6.0 W12
新車售價,1080萬,1380萬
車身型式,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,汽油
變速系統,手自排8速,手自排8速
排氣量,3956cc,5950cc
極速(km/h),270km/h,301km/h
官方0-100km/h加速(s),4.8s,4.1s
燃料稅,5886元,13080元
牌照稅,28220元,69690元
車長(mm),5141mm,5141mm
車寬(mm),1998mm,1998mm
車高(mm),1742mm,1742mm
軸距(mm),2992mm,2992mm
車重(kg),2499kg,2442kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),85L,85L
行李容積(L),484L,484L
前輪距(mm),1689mm,1689mm
後輪距(mm),1693mm,1693mm
進氣型式,渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,W型12缸
汽門數,32,48
壓縮比,16,10.5
最大馬力,435hp@3750~5000rpm,608hp@5000-6000rpm
最大扭力,91.8kgm@1000~3250rpm,91.8kgm@1350-4500rpm
缸徑(mm),83mm,84mm
衝程(mm),91.4mm,89.5mm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,275/50R20,285/45R21
後輪尺碼,275/50R20,285/45R21
引擎擺放位置,前置,前置
電動天窗,●,●
車門自動吸附,●,●
電動開闔尾門/行李蓋,●,●
車頂行李架,●,●
輪圈規格,20吋,21吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動,電動
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,4區,4區
後座出風口,●,●
車內粉塵過濾,●,●
車載冰箱,○,○
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,ASR,ASR
主動安全預防系統,●,●
斜坡起步輔助,●,●
陡坡緩降系統,●,●
定速系統,●,●
盲點偵測系統,●,●
倒車雷達,前後,前後
倒車顯影系統,●,●
氣壓懸吊,●,●
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,電動,電動
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座座椅調整,●,●
後座前後滑移,●,●
座椅記憶功能,●,●
第三排座椅,○,○
加熱座椅,●,●
通風座椅,●,●
按摩座椅,○,○
後座杯架,●,●
後座扶手,●,●
外部音源接入,Aux-In、USB,Aux-In、USB
藍牙通訊,●,●
音響系統,CD、MP3,CD、MP3
音響喇叭數量,12只,12只
後座影音功能,○,○
後座整合控制台,○,○
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
