Name,Continental Flying Spur 2013 6.0 W12
新車售價,1280萬
車身型式,豪華大型房車
動力型式,汽油
變速系統,手自排6速
排氣量,5998cc
能源局公佈平均油耗,5.8km/ltr
燃料稅,13080元
牌照稅,69690元
車長(mm),5290mm
車寬(mm),1976mm
車高(mm),1475mm
軸距(mm),3065mm
車重(kg),2440kg
車門數,4門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,W型12缸
汽門數,48
壓縮比,9
最大馬力,560hp@6100rpm
最大扭力,66.3kgm@1600~6100rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,275/40R19
後輪尺碼,275/40R19
電動天窗,●
電動開闔尾門/行李蓋,●
感應式雨刷,●
方向盤調整,電動
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
按摩座椅,●
後座杯架,●
後座扶手,●
藍牙通訊,●
音響系統,MP3、DVD、CD
音響喇叭數量,12只
頭燈光源,HID
感應頭燈,●
LED日行燈,●
前霧燈,●
後霧燈,●
