Name,Continental GT 2018 4.0 V8,Continental GT 2018 4.0 V8 S,Continental GT 2018 6.0 W12,Continental GT 2018 Speed 6.0 W12
新車售價,1280萬,1380萬,1420萬元起,1860萬
車身型式,雙門跑車,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,3993cc,3993cc,5998cc,5998cc
極速(km/h),305km/h,309km/h,333km/h,331km/h
官方0-100km/h加速(s),4.8s,4.5s,3.7s,4.1s
燃料稅,9810元,9810元,13080元,13080元
牌照稅,28220元,28220元,69690元,69690元
車長(mm),4806mm,4818mm,4850mm,4818mm
車寬(mm),1947mm,1943mm,2187mm,1947mm
車高(mm),1401mm,1391mm,1405mm,1391mm
軸距(mm),2746mm,2746mm,2851mm,2746mm
車重(kg),2295kg,2295kg,2244kg,2320kg
車門數,2門,2門,2門,2門
乘客數,4座,4座,4座,4座
油箱容量(L),90L,90L,90L,90L
行李容積(L),358L,358L,358L,358L
前輪距(mm),1667mm,1667mm,-,1667mm
後輪距(mm),1663mm,1663mm,-,1663mm
進氣型式,雙渦輪增壓,雙渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸,W型12缸,W型12缸
汽門數,32,32,48,48
壓縮比,9.3,10.5,-,9
最大馬力,507hp@6000rpm,528hp@6000rpm,635hp@5000-6000rpm,633hp@5900rpm
最大扭力,67.34kgm@1700rpm,69.3kgm@1700rpm,91.5kgm@1350~4500rpm,85.7kgm@2000~5000rpm
缸徑(mm),84.5mm,-,-,-
衝程(mm),89mm,-,-,-
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,275/40R20,275/40R20,260/40R21,275/35R21
後輪尺碼,275/40R20,275/40R20,305/35R21,275/35R21
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,●,●,●
運動外觀套件,-,●,-,●
車門自動吸附,-,-,●,●
電動開闔尾門/行李蓋,●,●,●,●
輪圈規格,20吋,20吋,21吋,21吋
感應式雨刷,●,●,●,●
後視鏡自動防眩目,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡記憶,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,電動,電動,●,電動
多功能方向盤,●,●,●,●
方向盤換檔,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,-,●,-
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,-,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,-,-,ISOFIX,-
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC,ESC
循跡系統,ASR,ASR,ASR,ASR
主動安全預防系統,-,-,●,-
斜坡起步輔助,●,●,-,●
定速系統,●,●,-,●
盲點偵測系統,-,-,●,-
駕駛警示系統,-,-,●,-
倒車雷達,-,前後,前後,前後
倒車顯影系統,●,●,●,●
防盜系統,●,-,●,-
電子懸吊,-,-,●,-
電子差速器,●,●,●,●
電子手剎車,●,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮
跑車式座椅,●,●,●,●
座椅高低調整,電動,電動,電動,電動
腰部支撐調整,電動,電動,電動,電動
前座座椅調整,●,●,●,●
座椅記憶功能,●,●,●,●
加熱座椅,●,●,●,●
通風座椅,●,●,●,-
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,Aux-In、USB,Aux-In/USB,●,Aux-In/USB
多媒體系統,-,-,12.3吋,-
藍牙通訊,-,●,●,●
音響系統,CD、MP3,MP3、DVD、CD,●,MP3、CD
音響喇叭數量,8只,12只,10,12只
頭燈光源,HID,HID,LED,HID
感應頭燈,●,●,●,●
頭燈水準自動調整,-,●,-,-
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,●
