Name,Mulsanne 2017 6.75 V8,Mulsanne 2017 Speed 6.75 V8,Mulsanne 2017 6.75 V8 EWB
新車售價,2200萬,2530萬,2680萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,6752cc,6752cc,6752cc
極速(km/h),296km/h,305km/h,296km/h
官方0-100km/h加速(s),5.3s,4.9s,4.9s
燃料稅,14910元,14910元,14910元
實測0-100km/h加速(s),-,-,5.5s
牌照稅,117000元,117000元,117000元
車長(mm),5575mm,5575mm,5825mm
車寬(mm),1926mm,1926mm,1926mm
車高(mm),1521mm,1521mm,1541mm
軸距(mm),3266mm,3266mm,3516mm
車重(kg),2685kg,2685kg,2685kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),96L,96L,96L
行李容積(L),443L,443L,443L
前輪距(mm),1605mm,1605mm,1605mm
後輪距(mm),1651mm,1651mm,1651mm
進氣型式,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓
汽門構造,OHV,OHV,OHV
汽缸設計,V型8缸,V型8缸,V型8缸
汽門數,32,32,32
最大馬力,505hp@4000rpm,529hp@4000rpm,505hp@4000rpm
最大扭力,104kgm@1750rpm,112kgm@1750rpm,104kgm@1750rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,265/45R20,265/40R21,265/40R21
後輪尺碼,265/40R20,265/40R21,265/40R21
引擎擺放位置,前置,前置,前置
電動天窗,●,●,●
車門自動吸附,●,●,●
電動開闔尾門/行李蓋,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,電動,電動,電動
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,4區,4區,4區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,-,●,●
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,ASR,ASR,ASR
斜坡起步輔助,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,電動,電動,電動
腰部支撐調整,電動,電動,電動
前座座椅調整,●,●,●
後座座椅調整,●,●,●
座椅記憶功能,●,●,●
加熱座椅,●,●,●
通風座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,Aux-In/USB,Aux-In/USB,Aux-In/USB
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,8只,8只,8只
頭燈光源,HID,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
