Name,Veyron 2011 16.4
新車售價,暫未公佈
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,7993cc
能源局公佈平均油耗,4.15km/ltr
燃料稅,15720元
牌照稅,151200元
車長(mm),4462mm
車寬(mm),1998mm
車高(mm),1204mm
軸距(mm),2710mm
車重(kg),1888kg
車門數,2門
乘客數,2座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,W型16缸
汽門數,64
壓縮比,9
最大馬力,1001hp@6000rpm
最大扭力,127.5kgm@2200~5500rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,265/680/500A 365/710/540A
後輪尺碼,265/680/500A 365/710/540A
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
前座座椅調整,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,8只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
