Name,Delica廂車 2018 豪華型,Delica廂車 2018 標準型
新車售價,-,69萬
車身型式,貨車,貨車
動力型式,汽油,汽油
變速系統,手排5速,手排5速
排氣量,2351cc,2351cc
能源局公佈平均油耗,8.7km/ltr,8.7km/ltr
能源效率等級,3,3
燃料稅,3083元,3083元
牌照稅,6480元,6480元
車長(mm),4745mm,4745mm
車寬(mm),1690mm,1690mm
車高(mm),1960mm,1960mm
軸距(mm),2435mm,2435mm
車重(kg),1595kg,1595kg
車門數,5門,5門
乘客數,8座,8座
前輪距(mm),1445mm,1445mm
後輪距(mm),1380mm,1380mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列四缸,直列四缸
汽門數,16V,16V
壓縮比,9.0:1,9.0:1
最大馬力,116hp/5000rpm,116hp/5000rpm
最大扭力,19.2kgm/3000rpm,19.2kgm/3000rpm
缸徑(mm),86.5mm,86.5mm
衝程(mm),100mm,100mm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,185R14C,185R14C
後輪尺碼,185R14C,185R14C
引擎擺放位置,前置,前置
後雨刷,●,●
後視鏡電動調整,●,-
方向盤調整,高低可調,高低可調
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中控鎖,●,●
胎壓偵測,●,●
倒車雷達,●,-
防盜系統,●,●
座椅材質,織布,-
前座座椅調整,●,●
後座座椅調整,●,●
後座前後滑移,●,●
後座分離式傾倒,第三排,第三排
第三排座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB,USB
音響系統,CD/MP3/WMA,CD/MP3/WMA
音響喇叭數量,4只,4只
頭燈光源,鹵素,鹵素
前霧燈,●,●
後霧燈,●,●
