Name,Delica貨車 2018 標準型底盤車,Delica貨車 2018 標準型貨床車,Delica貨車 2018 標準型寬貨床車,Delica貨車 2018 豪華型貨床車,Delica貨車 2018 豪華型寬貨床車
新車售價,49.7萬,51.2萬,51.7萬,51.9萬,52.4萬
車身型式,貨車,貨車,貨車,貨車,貨車
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手排5速,手排5速,手排5速,手排5速,手排5速
排氣量,2351cc,2351cc,2351cc,2351cc,2351cc
燃料稅,3083元,3083元,3083元,3083元,3083元
牌照稅,6480元,6480元,6480元,6480元,6480元
車長(mm),4730mm,4945mm,4945mm,4945mm,4945mm
車寬(mm),1695mm,1800mm,1900mm,1800mm,1900mm
車高(mm),1820mm,1920mm,1920mm,1920mm,1920mm
軸距(mm),2470mm,2470mm,2470mm,2470mm,2470mm
車重(kg),1235kg,1510kg,1540kg,1510kg,1540kg
車門數,2門,2門,2門,2門,2門
乘客數,3座,3座,3座,3座,3座
前輪距(mm),1445mm,1445mm,1445mm,1445mm,1445mm
後輪距(mm),1380mm,1380mm,1380mm,1380mm,1380mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列四缸,直列四缸,直列四缸,直列四缸,直列四缸
汽門數,16V,16V,16V,16V,16V
壓縮比,9:1,9:1,9:1,9:1,9:1
最大馬力,116hp/5000rpm,116hp/5000rpm,116hp/5000rpm,116hp/5000rpm,116hp/5000rpm
最大扭力,19.2kgm/3000rpm,19.2kgm/3000rpm,19.2kgm/3000rpm,19.2kgm/3000rpm,19.2kgm/3000rpm
缸徑(mm),86.5mm,86.5mm,86.5mm,86.5mm,86.5mm
衝程(mm),100mm,100mm,100mm,100mm,100mm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,185R14C-8PR,185R14C-8PR,185R14C-8PR,185R14C-8PR,185R14C-8PR
後輪尺碼,185R14C-8PR,185R14C-8PR,185R14C-8PR,185R14C-8PR,185R14C-8PR
引擎擺放位置,前置,前置,前置,前置,前置
方向盤調整,高低可調,高低可調,高低可調,高低可調,高低可調
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中控鎖,●,●,●,●,●
胎壓偵測,●,●,●,●,●
防盜系統,●,●,●,●,●
座椅材質,-,-,-,織布,織布
前座座椅調整,●,●,●,●,●
外部音源接入,USB,USB,USB,USB,USB
音響系統,CD/MP3/WMA,CD/MP3/WMA,CD/MP3/WMA,CD/MP3/WMA,CD/MP3/WMA
音響喇叭數量,2只,2只,2只,2只,2只
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
