Name,Escalade 2010 6.2 Premium
新車售價,439萬
車身型式,豪華SUV休旅
動力型式,汽油
變速系統,手自排6速
排氣量,6162cc
能源局公佈平均油耗,5.6km/ltr
燃料稅,13950元
牌照稅,69690元
車長(mm),5144mm
車寬(mm),2007mm
車高(mm),1887mm
軸距(mm),2946mm
車重(kg),2581kg
車門數,5門
乘客數,7座
進氣型式,自然吸氣
汽門構造,OHV
汽缸設計,V型8缸
汽門數,16
壓縮比,10.5
最大馬力,403hp@5700rpm
最大扭力,57.7kgm@4300rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,285/45R22
後輪尺碼,285/45R22
電動天窗,●
電動開闔尾門/行李蓋,●
車頂行李架,●
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤調整,電動
旅程電腦,●
中控鎖,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
腰部支撐調整,電動
前座座椅調整,●
後座座椅調整,●
加熱座椅,●
通風座椅,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN
音響系統,MP3、DVD、CD
音響喇叭數量,11只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
