Name,Fresh 2011 1.3,Fresh 2011 1.3 Smart Grid
新車售價,39.8萬,42.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自手排5速,自手排5速
排氣量,1297cc,1297cc
能源局公佈平均油耗,12.9km/ltr,12.9km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3700mm,3700mm
車寬(mm),1578mm,1578mm
車高(mm),1564mm,1564mm
軸距(mm),2390mm,2390mm
車重(kg),1084kg,1084kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,10
最大馬力,82.9hp@6000rpm,82.9hp@6000rpm
最大扭力,11.6kgm@4500rpm,11.6kgm@4500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,175/60R14,175/60R14
後輪尺碼,175/60R14,175/60R14
車頂行李架,●,●
中央顯示幕,-,●
衛星導航,-,●
前座正面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
後座分離式傾倒,●,●
外部音源接入,-,AUX-IN
藍牙通訊,-,●
音響系統,MP3、CD,MP3、DVD、CD
音響喇叭數量,4只,4只
前霧燈,●,●
後霧燈,●,●
