Name,300C 2009 2.7
新車售價,179.9萬
車身型式,大型房車
動力型式,汽油
變速系統,自排4速
排氣量,2736cc
能源局公佈平均油耗,9.9km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),5015mm
車寬(mm),1880mm
車高(mm),1500mm
軸距(mm),3050mm
車重(kg),1723kg
車門數,4門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,9.9
最大馬力,190hp@6400rpm
最大扭力,26.2kgm@4000rpm
驅動型式,後輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/60R18
後輪尺碼,225/60R18
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤調整,電動
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
後座杯架,●
後座扶手,●
音響系統,MP3、DVD、CD
音響喇叭數量,6只
頭燈光源,HID
LED尾燈,●
前霧燈,●
