Name,PT Cruiser 2009 2.4
新車售價,102.5萬
車身型式,中型掀背車
動力型式,汽油
變速系統,自排4速
排氣量,2429cc
能源局公佈平均油耗,10.8km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),4288mm
車寬(mm),1748mm
車高(mm),1601mm
軸距(mm),2616mm
車重(kg),1481kg
車門數,5門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,na
最大馬力,141hp@5200rpm
最大扭力,21.8kgm@4400rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,195/65R15
後輪尺碼,195/65R15
後視鏡加熱/除霧,●
旅程電腦,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
後座分離式傾倒,●
後座杯架,●
後座扶手,●
音響系統,MP3、CD
音響喇叭數量,6只
LED尾燈,●
前霧燈,●
