Name,Town Country 2010 3.3 豪華型,Town Country 2010 3.3 旗艦型
新車售價,117.9萬,125.9萬
車身型式,MPV休旅,MPV休旅
動力型式,汽油,汽油
變速系統,自排4速,自排4速
排氣量,3301cc,3301cc
能源局公佈平均油耗,8.6km/ltr,8.6km/ltr
燃料稅,8640元,8640元
牌照稅,28220元,28220元
車長(mm),5096mm,5096mm
車寬(mm),1997mm,1997mm
車高(mm),1749mm,1749mm
軸距(mm),3030mm,3030mm
車重(kg),1950kg,1950kg
車門數,5門,5門
乘客數,7座,7座
進氣型式,自然吸氣,自然吸氣
汽門構造,OHV,OHV
汽缸設計,V型6缸,V型6缸
汽門數,12,12
壓縮比,9.4,9.4
最大馬力,174hp@5100rpm,174hp@5100rpm
最大扭力,29.0kgm@4000rpm,29.0kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/65R16,215/65R16
後輪尺碼,215/65R16,215/65R16
電動天窗,-,●
電動開闔尾門/行李蓋,-,●
後視鏡加熱/除霧,●,●
中控鎖,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
膝部氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,-,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,皮革,皮革
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,8只,8只
前霧燈,●,●
