Name,C4 Picasso 2018 Design 360,C4 Picasso 2018 Design 360+,C4 Picasso 2018 Premium 360,C4 Picasso 2018 Premium Pack 360,C4 Picasso 2018 Premium Pack 360+
新車售價,139.8萬,143.8萬,144.8萬,154.8萬,158.8萬
車身型式,轎式休旅車 MPV,轎式休旅車 MPV,轎式休旅車 MPV,轎式休旅車 MPV,轎式休旅車 MPV
動力型式,柴油,柴油,柴油,柴油,柴油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,1560cc,1997cc,1560cc,1560cc,1560cc
極速(km/h),188km/h,188km/h,188km/h,-,188km/h
能源局公佈平均油耗,22.1km/ltr,22.1km/ltr,22.1km/ltr,21.3km/ltr,20.7km/ltr
能源效率等級,1,1,1,1,1
燃料稅,2880元,2880元,2880元,3708元,2880元
牌照稅,7120元,7120元,7120元,11230元,7120元
車長(mm),4438mm,4438mm,4438mm,4438mm,4597mm
車寬(mm),1826mm,1826mm,1826mm,1826mm,1826mm
車高(mm),1625mm,1625mm,1625mm,1625mm,1644mm
軸距(mm),2785mm,2785mm,2785mm,2785mm,2785mm
車重(kg),1435kg,1435kg,1435kg,1435kg,1435kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),55L,55L,55L,55L,55L
行李容積(L),537～1851L,537～1851L,537～1851L,537~1851L,537～1851L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,8,8,8,8,8
最大馬力,120hp@3500rpm,120hp@3500rpm,120hp@3500rpm,120hp@3500rpm,120hp@3500rpm
最大扭力,30.59@1750rpm,30.59@1750rpm,30.59@1750rpm,30.57kgm@1750rpm,30.59@1750rpm
驅動型式,-,-,-,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,"扭力樑,拖曳臂","扭力樑,拖曳臂","扭力樑,拖曳臂",拖曳臂,"扭力樑,拖曳臂"
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60 R16,205/60 R16,205/55 R17,205/55R17,205/55 R17
後輪尺碼,205/60 R16,205/60 R16,205/55 R17,205/55R17,205/55 R17
引擎擺放位置,前置,前置,前置,前置,前置
電動開闔尾門/行李蓋,-,●,-,●,●
車頂行李架,-,-,-,●,-
玻璃車頂,●,●,●,●,●
輪圈規格,16吋,16吋,17吋,17吋,17吋
後雨刷,-,-,-,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,-,●
多功能資訊幕,●,●,●,●,●
抬頭顯示幕,-,-,-,●,-
環景影像系統,-,-,-,●,-
Keyless免匙系統,-,-,-,●,●
中控鎖,●,●,●,●,●
衛星導航,-,-,-,●,-
恆溫空調,●,●,●,●,●
後座出風口,-,-,-,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,●,●,ISOFIX,ISO-FIX,●
ABS防鎖死,●,●,●,●,●
煞車輔助系統,●,●,●,●,●
動態穩定系統,●,●,●,●,●
車道偏離警示,●,●,●,●,●
循跡系統,●,●,●,-,●
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
自動停車系統,●,●,●,-,●
盲點偵測系統,●,●,●,●,●
倒車雷達,●,●,●,●,●
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
主動式智慧定速系統,●,●,●,-,●
電子手剎車,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革
座椅高低調整,●,●,●,●,●
前座座椅調整,●,●,●,●,●
後座座椅調整,●,●,●,-,●
後座前後滑移,●,●,●,-,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
第三排座椅,-,-,-,●,-
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,USB/Aux-in,USB/Aux-in,USB/Aux-in,USB/Aux-in,USB/Aux-in
多媒體系統,7吋,7吋,7吋,7吋,7吋
藍牙通訊,●,●,●,●,●
音響系統,-,-,-,●,-
音響喇叭數量,6,6,6,-,6
頭燈光源,HID,HID,HID,HID,HID
感應頭燈,●,●,●,●,●
主動轉向頭燈,●,●,●,●,●
自適應遠近光,-,-,-,●,-
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
轉向輔助照明,-,-,-,●,-
引擎啟閉系統,●,●,●,●,●
