Name,Fuwin 2018 K01HA23SE 短鐵床型,Fuwin 2018 K01HA25SE 長鐵床型,Fuwin 2018 K01HA23WE 木床型
新車售價,43.7萬起,43.7萬起,44.5萬起
車身型式,貨卡車 Pick-up,貨卡車 Pick-up,貨卡車 Pick-up
動力型式,汽油,汽油,汽油
變速系統,手排5速,手排5速,手排5速
排氣量,1199cc,1199cc,1199cc
能源局公佈平均油耗,13.4km/ltr,13.3km/ltr,13.6km/ltr
能源效率等級,1,1,1
燃料稅,4320元,4320元,4320元
牌照稅,1800元,1800元,1800元
車長(mm),4280mm,4480mm,4405mm
車寬(mm),1560mm,1560mm,1640mm
車高(mm),1900mm,1900mm,1900mm
軸距(mm),2760mm,2760mm,2760mm
車重(kg),1900kg,1900kg,1900kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),40L,40L,40L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.5:1,10.5:1,10.5:1
最大馬力,85hp@6000rpm,85hp@6000rpm,85hp@6000rpm
最大扭力,11.4kgm@4400rpm,11.4kgm@4400rpm,11.4kgm@4400rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,165R13C,165R13C,165R13C
後輪尺碼,165R13C,165R13C,165R13C
引擎擺放位置,中置,中置,中置
動力方向盤,●,●,●
中控鎖,●,●,●
胎壓偵測,●,●,●
外部音源接入,AUX,AUX,AUX
多媒體系統,CD/MP3,CD/MP3,CD/MP3
音響系統,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
