Name,KingCob 2018 C32XA21SE雙廂框鐵床型
新車售價,58.8萬
車身型式,貨卡車 Pick-up
動力型式,汽油
變速系統,手排5速
排氣量,1495cc
能源局公佈平均油耗,12.3km/ltr
能源效率等級,1級
燃料稅,4800元
牌照稅,7120(自用) 3060(商用)元
車長(mm),4740mm
車寬(mm),1655mm
車高(mm),1945mm
軸距(mm),3050mm
車重(kg),2200kg
車門數,4門
乘客數,4座
油箱容量(L),56L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5:1
最大馬力,102hp@6000rpm
最大扭力,14.2kgm@3600rpm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,葉片彈簧
煞車型式,前碟後鼓
前輪尺碼,185R14C
後輪尺碼,185R14C
引擎擺放位置,前置
動力方向盤,●
中控鎖,●
胎壓偵測,●
前座座椅調整,●
外部音源接入,AUX/USB
多媒體系統,CD/MP3
音響系統,●
音響喇叭數量,2支
前霧燈,●
後霧燈,●
