Name,Terios 2017 1.5 2WD MX,Terios 2017 1.5 2WD LX,Terios 2017 1.5 4WD MX,Terios 2017 1.5 4WD LX
新車售價,81.8萬,84.9萬,86.8萬,89.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油,汽油
變速系統,自排四速,自排四速,自排四速,自排四速
排氣量,1495cc,1495cc,1495cc,1495cc
能源局公佈平均油耗,12.8km/ltr,12.8km/ltr,12.4km/ltr,12.4km/ltr
能源效率等級,1,1,1,1
燃料稅,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元
車長(mm),4065mm,4065mm,4095mm,4095mm
車寬(mm),1695mm,1695mm,1695mm,1695mm
車高(mm),1740mm,1740mm,1740mm,1740mm
軸距(mm),2580mm,2580mm,2580mm,2580mm
車重(kg),1180kg,1180kg,1195kg,1195kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),50L,50L,50L,50L
行李容積(L),380L,380L,380L,380L
前輪距(mm),1450mm,1450mm,1450mm,1450mm
後輪距(mm),1460mm,1460mm,1460mm,1460mm
最小離地高度(mm),190mm,190mm,190mm,190mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,-,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10.0,10.0,10.0,10.0
最大馬力,102hp@6000rpm,102hp@6000rpm,102hp@6000rpm,102hp@6000rpm
最大扭力,13.8kgm@4400rpm,13.8kgm@4400rpm,13.8kgm@4400rpm,13.8kgm@4400rpm
缸徑(mm),72.0mm,72.0mm,72.0mm,72.0mm
衝程(mm),91.8mm,91.8mm,91.8mm,91.8mm
驅動型式,後輪驅動,後輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16
後輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16
備胎規格,同尺寸,同尺寸,同尺寸,同尺寸
引擎擺放位置,前置,前置,前置,前置
車頂行李架,●,●,●,●
後雨刷,●,-,●,●
方向盤調整,上下手動,-,上下手動,上下手動
旅程電腦,●,●,●,●
中控鎖,●,●,●,●
前座正面氣囊,●,●,●,●
ABS防鎖死,●,●,●,●
倒車雷達,後,後,後,後
座椅材質,織布,織布,織布,織布
座椅高低調整,手動,手動,手動,手動
後座分離式傾倒,6/4,6/4,6/4,6/4
外部音源接入,Aux-in,-,Aux-in,Aux-in
音響系統,-,DVD/Mp3,-,DVD/Mp3
音響喇叭數量,4,4,4,4
頭燈光源,鹵素,-,鹵素,鹵素
前霧燈,●,●,●,●
後霧燈,●,●,●,●
