Name,458 2015 Italia,458 2015 V8,458 2015 Speciale
新車售價,1379萬,1536萬,1614萬
車身型式,雙門跑車,敞篷車,雙門跑車
動力型式,汽油,汽油,汽油
變速系統,自手排7速雙離合,自手排7速雙離合,自手排7速雙離合
排氣量,4499cc,4499cc,4497cc
能源局公佈平均油耗,6.5km/ltr,6.6km/ltr,7.5km/ltr
燃料稅,11220元,11220元,11220元
牌照稅,46170元,46170元,46170元
車長(mm),4527mm,4527mm,4571mm
車寬(mm),1937mm,1937mm,1951mm
車高(mm),1213mm,1211mm,1203mm
軸距(mm),2650mm,2650mm,2650mm
車重(kg),1485kg,1430kg,1395kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),86L,86L,86L
行李容積(L),230L,230L,230L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸,V型8缸
汽門數,32,32,32
壓縮比,12.5,12.5,14
最大馬力,570hp@9000rpm,570hp@9000rpm,605hp@9000rpm
最大扭力,55.0kgm@6000rpm,55.0kgm@6000rpm,55.1kgm@6000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/35R20 295/35R20,235/35R20 295/35R20,245/35R20 305/30R20
後輪尺碼,235/35R20 295/35R20,235/35R20 295/35R20,245/35R20 305/30R20
感應式雨刷,●,●,●
方向盤換檔,●,●,●
旅程電腦,●,●,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
胎壓偵測,●,●,●
ABS防鎖死,●,●,●
循跡系統,●,●,●
倒車雷達,●,●,●
防盜系統,●,●,●
跑車式座椅,●,●,●
前座座椅調整,●,●,-
外部音源接入,AUX-IN,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,6只,6只,6只
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
LED日行燈,●,●,●
