Name,488 Spider 2018 V8
新車售價,1616萬
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,3902cc
極速(km/h),325km/h
官方0-100km/h加速(s),3.0s
燃料稅,9810元
牌照稅,28220元
車長(mm),4568mm
車寬(mm),1952mm
車高(mm),1211mm
軸距(mm),2650mm
車重(kg),1525kg
車門數,2門
乘客數,2座
油箱容量(L),78L
行李容積(L),230L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,9.4
最大馬力,670hp@8000rpm
最大扭力,77.5kgm@3000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/35R20
後輪尺碼,305/30R20
引擎擺放位置,中置
電動天窗,●
輪圈規格,20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡電動折疊,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
中控鎖,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
防盜系統,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
前座座椅調整,●
外部音源接入,AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,6
頭燈光源,HID
感應頭燈,●
LED日行燈,●
LED尾燈,●
後霧燈,●
