Name,488 2018 V8,488 2018 Pista
新車售價,1381萬,1998萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,自手排7速雙離合,自手排7速
排氣量,3902cc,3902cc
極速(km/h),330km/h,340km/h
官方0-100km/h加速(s),3.0s,2.85s
燃料稅,9810元,9810元
牌照稅,28220元,28220元
車長(mm),4568mm,4605mm
車寬(mm),1952mm,1975mm
車高(mm),1213mm,1206mm
軸距(mm),2650mm,-
車重(kg),1370kg,1280kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),78L,78L
行李容積(L),230L,-
前輪距(mm),-,1679mm
後輪距(mm),-,1649mm
進氣型式,渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸
汽門數,32,32
壓縮比,9.4,-
最大馬力,670hp@8000rpm,720hp@8000rpm
最大扭力,77.5kgm@3000rpm,78.5kgm@3000rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/35R20,245/35R20
後輪尺碼,305/30R20,305/30R20
引擎擺放位置,中置,中置
運動外觀套件,-,●
輪圈規格,-,20吋
感應式雨刷,●,●
方向盤調整,-,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
Keyless免匙系統,●,●
中控鎖,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,-,●
動態穩定系統,-,●
循跡系統,-,●
防盜系統,●,●
電子懸吊,-,●
電子差速器,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
前座座椅調整,●,●
外部音源接入,●,●
音響系統,●,●
音響喇叭數量,●,●
頭燈光源,HID,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
