Name,599 GTB Fiorano 2012 HGTE
新車售價,1819萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排6速
排氣量,5999cc
能源局公佈平均油耗,6.6km/ltr
燃料稅,13080元
牌照稅,69690元
車長(mm),4665mm
車寬(mm),1962mm
車高(mm),1336mm
軸距(mm),2750mm
車重(kg),1580kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,11.2
最大馬力,620hp@7600rpm
最大扭力,62.0kgm@5600rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/35R20  305/35R20
後輪尺碼,245/35R20  305/35R20
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
倒車雷達,●
防盜系統,●
跑車式座椅,●
前座座椅調整,●
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
