Name,812 Superfast 2018 6.5 V12
新車售價,1930萬
車身型式,雙門跑車
變速系統,自手排7速雙離合
排氣量,6496cc
極速(km/h),340km/h
官方0-100km/h加速(s),2.9s
車長(mm),4657mm
車寬(mm),1971mm
車高(mm),1276mm
車重(kg),1525kg
車門數,2門
乘客數,2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
最大馬力,800hp@8500rpm
最大扭力,73.2kgm@7000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/35R20
後輪尺碼,315/35R20
引擎擺放位置,前中置
輪圈規格,20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
動態穩定系統,●
循跡系統,●
防盜系統,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,電動
腰部支撐調整,電動
前座座椅調整,●
音響系統,●
音響喇叭數量,●
頭燈光源,●
感應頭燈,●
