Name,California 30 2014 4.3 V8
新車售價,1150萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,4297cc
能源局公佈平均油耗,7.4km/ltr
燃料稅,11220元
牌照稅,46170元
車長(mm),4563mm
車寬(mm),1902mm
車高(mm),1308mm
軸距(mm),2670mm
車重(kg),1600kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,12.2
最大馬力,490hp@7750rpm
最大扭力,51.5kgm@5000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,245/35R20  285/35R20
後輪尺碼,245/35R20  285/35R20
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
倒車雷達,●
防盜系統,●
跑車式座椅,●
前座座椅調整,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
