Name,California T 2017 3.8 V8
新車售價,1190萬起
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,3855cc
極速(km/h),316km/h
官方0-100km/h加速(s),3.6s
能源局公佈平均油耗,8.3km/ltr
能源效率等級,4
燃料稅,9810元
牌照稅,28220元
車長(mm),4570mm
車寬(mm),1910mm
車高(mm),1322mm
軸距(mm),2670mm
車重(kg),1625kg
車門數,2門
乘客數,2+2座
油箱容量(L),78L
行李容積(L),240L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,9.4
最大馬力,560hp@7500rpm
最大扭力,77.0kgm@4750rpm
缸徑(mm),86.5mm
衝程(mm),82mm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,245/40R19
後輪尺碼,285/40R19
引擎擺放位置,前置
感應式雨刷,○
後視鏡電動調整,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
動態穩定系統,CST
防盜系統,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,電動
前座座椅調整,●
外部音源接入,AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,6
頭燈光源,HID
感應頭燈,●
LED日行燈,●
LED尾燈,●
後霧燈,●
