Name,GTC4Lusso 2018 V12,GTC4Lusso 2018 V8
新車售價,1790萬,1790萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,6262cc,3855cc
極速(km/h),335km/h,335km/h
官方0-100km/h加速(s),3.4s,3.4s
燃料稅,13950元,13950元
牌照稅,69690元,69690元
車長(mm),4922mm,4922mm
車寬(mm),1980mm,1980mm
車高(mm),1383mm,1383mm
軸距(mm),2990mm,2990mm
車重(kg),1790kg,1740kg
車門數,3門,3門
乘客數,4座,4座
油箱容量(L),91L,91L
行李容積(L),450~800L,450~800L
前輪距(mm),1674mm,1674mm
後輪距(mm),1668mm,1668mm
進氣型式,自然吸氣,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型12缸,V型8缸
汽門數,48,48
壓縮比,13.5,13.5
最大馬力,690hp/8000rpm,610hp@7500rpm
最大扭力,71.09kgm/5750rpm,77.5kgm@3000rpm
缸徑(mm),94mm,94mm
衝程(mm),75.2mm,75.2mm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/35R20,245/35R20
後輪尺碼,295/35R20,295/35R20
引擎擺放位置,前置,前置
玻璃車頂,○,○
輪圈規格,20吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,電動,電動
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,ESP,ESP
循跡系統,●,●
倒車雷達,●,●
倒車顯影系統,○,○
電子差速器,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,電動,電動
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座分離式傾倒,4/2/4,4/2/4
後座扶手,●,●
外部音源接入,USB/Aux-In,USB/Aux-In
多媒體系統,●,●
藍牙通訊,●,●
音響系統,CD/MP3,CD/MP3
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
引擎啟閉系統,●,●
