Name,EcoSport 2018 1.5L 都會時尚型,EcoSport 2018 EcoBoost 125旗艦型
新車售價,69.9萬,79.9萬
車身型式,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油
變速系統,自排6速,自排6速
排氣量,1496cc,998cc
能源局公佈平均油耗,14.1km/ltr,14.6km/ltr
能源效率等級,2,4
燃料稅,4800元,4320元
牌照稅,7120元,4320元
車長(mm),4096mm,4096mm
車寬(mm),1765mm,1765mm
車高(mm),1636mm,1646mm
軸距(mm),2519mm,2519mm
車重(kg),1295kg,1325kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),52L,52L
行李容積(L),328~1178L,328~1178L
前輪距(mm),1519mm,1519mm
後輪距(mm),1524mm,1524mm
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸
汽門數,12,12
壓縮比,11,10
最大馬力,123hp@6500rpm,125hp@6000rpm
最大扭力,15.4kgm@4500rpm,17.3kgm@1400~4500rpm
缸徑(mm),84mm,71.9mm
衝程(mm),90mm,81.9mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,205/60R16,205/50R17
後輪尺碼,205/60R16,205/50R17
引擎擺放位置,前置,前置
車頂行李架,-,●
輪圈規格,16吋,17吋
後雨刷,●,●
感應式雨刷,-,●
後視鏡自動防眩目,-,●
後視鏡電動折疊,-,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,●,●
Keyless免匙系統,-,●
中控鎖,●,●
恆溫空調,-,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,-,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD/EBA,EBD/EBA
動態穩定系統,ESP,ESP
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,-,●
倒車雷達,●,前後
倒車顯影系統,-,●
防盜系統,●,●
座椅材質,織布,皮革
座椅高低調整,●,●
腰部支撐調整,-,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,-,●
後座扶手,-,●
外部音源接入,●,●
多媒體系統,●,8吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,7
頭燈光源,鹵素,鹵素
感應頭燈,-,●
頭燈水準自動調整,●,●
LED日行燈,-,●
前霧燈,-,●
後霧燈,●,●
引擎啟閉系統,●,●
