Name,Econovan 2010 底盤車,Econovan 2010 貨車
新車售價,45.3萬,45.9萬
車身型式,貨車,貨車
動力型式,汽油,汽油
變速系統,手排5速,手排5速
排氣量,1998cc,1998cc
能源局公佈平均油耗,7.9km/ltr,7.9km/ltr
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4680mm,4773mm
車寬(mm),1690mm,1905mm
車高(mm),1903mm,1966mm
軸距(mm),2400mm,2400mm
車重(kg),1155kg,1438kg
車門數,2門,2門
乘客數,3座,3座
進氣型式,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,12,12
壓縮比,8.6,8.6
最大馬力,100hp@5000rpm,100hp@5000rpm
最大扭力,16.3kgm@2500rpm,16.3kgm@2500rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,非獨立式,非獨立式
後輪懸吊,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,185R14C,185R14C
後輪尺碼,185R14C,185R14C
座椅材質,皮革,皮革
後座杯架,●,-
音響系統,CD,CD
音響喇叭數量,2只,2只
