Name,Escort 2018 1.5L 汽油雅緻型,Escort 2018 1.5L 汽油時尚型
新車售價,57.9萬,67.9萬
車身型式,小型房車,小型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1498cc,1498cc
能源局公佈平均油耗,14.2km/ltr,14.2km/ltr
能源效率等級,2,2
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4587mm,4587mm
車寬(mm),1825mm,1825mm
車高(mm),1490mm,1490mm
軸距(mm),2687mm,2687mm
車重(kg),1265kg,1300kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),50L,50L
行李容積(L),467（含備胎室）L,467L
前輪距(mm),1562mm,1562mm
後輪距(mm),1548mm,1548mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列四缸,直列四缸
汽門數,16,16
壓縮比,11:1,11:1
最大馬力,113hp/6000rpm,113hp/6000rpm
最大扭力,14.5kgm/4250rpm,14.5kgm/4250rpm
缸徑(mm),79.0mm,79.0mm
衝程(mm),76.4mm,76.4mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,"扭力樑,拖曳臂",扭力樑
煞車型式,四輪碟煞,四輪碟煞
前輪尺碼,195/65R15,205/55R16
後輪尺碼,195/65R15,205/55R16
引擎擺放位置,前置,前置
電動天窗,-,●
輪圈規格,15吋,16吋
後視鏡自動防眩目,-,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,-,●
中控鎖,●,●
衛星導航,-,●
行車紀錄器,-,●
恆溫空調,-,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,-,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD/EBA
動態穩定系統,-,ESP
循跡系統,-,●
斜坡起步輔助,●,●
定速系統,-,●
倒車雷達,-,●
倒車顯影系統,-,●
防盜系統,-,●
座椅材質,織布,皮革
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,-,●
後座杯架,-,●
後座扶手,-,●
外部音源接入,●,●
多媒體系統,-,8吋
藍牙通訊,-,●
音響系統,●,●
音響喇叭數量,6,6
頭燈光源,鹵素,鹵素
前霧燈,-,●
後霧燈,●,●
