Name,Fiesta 2017 1.5L 運動型,Fiesta 2017 EcoBoost125 運動型
新車售價,64.8萬,69.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自手排6速,自手排6速
排氣量,1498cc,998cc
能源局公佈平均油耗,16.6km/ltr,18.4km/ltr
能源效率等級,1級,2級
燃料稅,4800元,4320元
牌照稅,7120元,4320元
車長(mm),3969mm,3969mm
車寬(mm),1722mm,1722mm
車高(mm),1470mm,1470mm
軸距(mm),2489mm,2489mm
車重(kg),1135kg,1155kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),42.8L,42.8L
行李容積(L),281L,281L
前輪距(mm),1477mm,1477mm
後輪距(mm),1466mm,1466mm
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列3缸
汽門數,16,12
壓縮比,11,10
最大馬力,112hp@6300rpm,125hp@6000rpm
最大扭力,14.3kgm@4400rpm,17.3kgm@1400~4500rpm
缸徑(mm),79.0mm,71.9mm
衝程(mm),76.4mm,81.9mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,195/50R16,195/50R16
後輪尺碼,195/50R16,195/50R16
引擎擺放位置,前置,前置
運動外觀套件,●,●
輪圈規格,16吋,16吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESP,ESP
循跡系統,●,●
斜坡起步輔助,●,●
倒車雷達,●,●
防盜系統,●,●
駕駛模式選擇,●,●
座椅材質,皮布雙織,皮布雙織
跑車式座椅,●,●
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
外部音源接入,USB、AUX-IN,USB、AUX-IN
多媒體系統,SYNC,SYNC
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
頭燈光源,鹵素,鹵素
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
