Name,Focus ST 2016 ST
新車售價,138.8萬
車身型式,中型掀背車
動力型式,汽油
變速系統,手排6速
排氣量,1999cc
能源局公佈平均油耗,12.2km/ltr
燃料稅,6180元
牌照稅,11230元
車長(mm),4362mm
車寬(mm),1823mm
車高(mm),1484mm
軸距(mm),2648mm
車重(kg),1460kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.3 : 1
最大馬力,250 hp@5500 rpm
最大扭力,35.19 kgm@2000~4500 rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,四輪碟煞
前輪尺碼,235/40 R18
後輪尺碼,235/40 R18
電動天窗,●
感應式雨刷,●
後視鏡自動防眩目,車外
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
多功能方向盤,●
旅程電腦,●
恆溫空調,雙區
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
動態穩定系統,ESC
定速系統,●
倒車雷達,●
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN、iPhone
藍牙通訊,●
感應頭燈,●
LED日行燈,●
前霧燈,●
