Name,Kuga 2019 EcoBoost 180雅緻型,Kuga 2019 EcoBoost 180時尚經典型,Kuga 2019 EcoBoost 245旗艦型,Kuga 2019 TDCi柴油型
新車售價,85.9萬,96.9萬,113.8萬,113.8萬
車身型式,SUV休旅,中型SUV休旅,SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,柴油
變速系統,手自排6速,手自排6速,手自排6速,自手排6速
排氣量,1498cc,1498cc,1998cc,1997cc
能源局公佈平均油耗,13.2km/ltr,13.0km/ltr,11.1km/ltr,17.8km/ltr
能源效率等級,1級,1級,1級,1級
燃料稅,4800元,4800元,6180元,3708元
實測0-100km/h加速(s),-,-,7.27s,-
牌照稅,7120元,7120元,11230元,11230元
車長(mm),4536mm,4536mm,4536mm,4536mm
車寬(mm),1838mm,1838mm,1838mm,1838mm
車高(mm),1685mm,1695mm,1695mm,1695mm
軸距(mm),2690mm,2690mm,2690mm,2690mm
車重(kg),1560kg,1605kg,1720kg,1765kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),60L,60L,60L,60L
行李容積(L),456～1600L,456～1600L,456～1600L,456～1600L
前輪距(mm),1563mm,1563mm,1563mm,1563mm
後輪距(mm),1565mm,1565mm,1565mm,1565mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10,10,9.7,16.7
最大馬力,182hp@6000rpm,182hp@6000rpm,245hp@5500rpm,180hp@3500rpm
最大扭力,24.5kgm@1600~5000rpm,24.5kgm@1600~5000rpm,38kgm@3000rpm,40.8kgm@2000~2500rpm
缸徑(mm),79.0mm,79.0mm,87.5mm,-
衝程(mm),76.4mm,76.4mm,83.1mm,-
驅動型式,前輪驅動,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,235/55R17,235/50R18,235/50R18,235/50R18
後輪尺碼,235/55R17,235/50R18,235/50R18,235/50R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,全景式,●,●
電動開闔尾門/行李蓋,-,●,●,●
車頂行李架,-,●,●,●
輪圈規格,17吋,18吋,18吋,18吋
後雨刷,●,●,●,●
感應式雨刷,-,●,●,●
後視鏡自動防眩目,-,車內,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
環景影像系統,-,●,●,●
Keyless免匙系統,-,●,●,●
中控鎖,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISOFIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP,●
車道偏離警示,-,-,●,-
循跡系統,●,●,●,●
主動安全預防系統,-,-,●,●
斜坡起步輔助,●,●,●,●
定速系統,-,●,●,●
自動停車系統,-,-,●,●
盲點偵測系統,●,●,●,●
駕駛警示系統,-,-,●,●
倒車雷達,●,●,●,●
倒車顯影系統,-,●,●,●
防盜系統,●,●,●,●
主動式智慧定速系統,-,-,●,●
電子手剎車,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革
座椅高低調整,駕駛座手動,駕駛座手動,駕駛座電動,駕駛座電動
腰部支撐調整,駕駛座手動,駕駛座手動,駕駛座電動,駕駛座電動
前座座椅調整,●,●,●,●
後座座椅調整,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋
藍牙通訊,-,●,●,●
音響系統,●,●,●,●
音響喇叭數量,6,8,9,8
頭燈光源,鹵素,鹵素,HID,鹵素
感應頭燈,-,●,●,●
主動轉向頭燈,-,-,●,-
頭燈水準自動調整,-,-,●,-
自適應遠近光,-,-,●,-
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
轉向輔助照明,-,-,●,-
車輛動能回收系統,●,●,●,●
引擎啟閉系統,●,●,●,●
