Name,Ranger 2019 Bi-Turbo Wildtrak
新車售價,146.8萬
車身型式,Pick up貨卡
動力型式,柴油
變速系統,手自排10速
排氣量,1996cc
燃料稅,4626元
牌照稅,3600元
車長(mm),5359mm
車寬(mm),1867mm
車高(mm),1848mm
軸距(mm),3220mm
車重(kg),2215kg
車門數,4門
乘客數,5座
油箱容量(L),80L
前輪距(mm),1560mm
後輪距(mm),1560mm
最小離地高度(mm),237mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16:1
最大馬力,213hp@3750rpm
最大扭力,51.0kgm@1750~2500rpm
缸徑(mm),84.01mm
衝程(mm),90.03mm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,葉片彈簧
煞車型式,前碟後鼓
前輪尺碼,265/60R18
後輪尺碼,265/60R18
引擎擺放位置,前置
車頂行李架,●
輪圈規格,18吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
衛星導航,●
恆溫空調,雙區
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBA、EBD
動態穩定系統,ESP
循跡系統,TCS
斜坡起步輔助,●
陡坡緩降系統,●
定速系統,●
倒車雷達,前後4眼式
倒車顯影系統,●
防盜系統,●
電子差速器,●
座椅材質,皮革
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座手動
前座座椅調整,●
後座杯架,●
外部音源接入,●
多媒體系統,8吋
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,HID
感應頭燈,●
LED日行燈,●
前霧燈,●
後霧燈,●
