Name,Tourneo Custom 2019 尊爵型,Tourneo Custom 2019 豪華型,Tourneo Custom 2019 豪華型（短軸）
新車售價,146.9萬,163.3萬,163萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,柴油,柴油,柴油
變速系統,手自排6速,手自排6速,手自排6速
排氣量,1995cc,1995cc,1995cc
能源局公佈平均油耗,13.7km/ltr,14.5km/ltr,14.3km/ltr
能源效率等級,1級,1級,1級
燃料稅,3708元,3708元,3708元
牌照稅,11230元,11230元,11230元
車長(mm),5339mm,5339mm,4972mm
車寬(mm),2030mm,2030mm,2030mm
車高(mm),1976mm,1976mm,1982mm
軸距(mm),3300mm,3300mm,2933mm
車重(kg),2435kg,2480kg,2420kg
車門數,5門,5門,5門
乘客數,9座,9座,8座
油箱容量(L),70L,70L,70L
行李容積(L),1930L,1930L,1180L
前輪距(mm),1736mm,1736mm,1736mm
後輪距(mm),1720mm,1720mm,1720mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,16.5,16.5,16.5
最大馬力,130hp@3500rpm,170hp@3500rpm,170hp@3500rpm
最大扭力,39.3kgm@1500~2000rpm,41.3kgm@1750~2500rpm,41.3kgm@1750~2500rpm
缸徑(mm),84.0mm,84.0mm,84.0mm
衝程(mm),90.0mm,90.0mm,90.0mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/65R16,215/65R16,215/65R16
後輪尺碼,215/65R16,215/65R16,215/65R16
引擎擺放位置,前置,前置,前置
側滑門,●,●,●
輪圈規格,16吋,16吋,16吋
後雨刷,●,●,●
感應式雨刷,-,●,●
後視鏡電動折疊,-,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
中控鎖,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBA,EBA,EBA
動態穩定系統,ESP、RSC,ESP、RSC,ESP、RSC
循跡系統,TCS,TCS,TCS
斜坡起步輔助,●,●,●
定速系統,●,●,●
倒車雷達,前後,前後,前後
防盜系統,-,●,●
座椅材質,織布,皮革,皮革
座椅高低調整,手動,雙前座電動,雙前座電動
腰部支撐調整,手動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,●,●,●
第三排座椅,●,●,●
加熱座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,4.5吋,8吋,8吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,10,10,10
頭燈光源,鹵素,鹵素,鹵素
感應頭燈,-,●,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,●,●,●
