Name,Accord 2013 2.4 VTi Deluxe,Accord 2013 2.4 VTi Luxury,Accord 2013 2.4 VTi-S Exclusive
新車售價,129萬,134萬,145萬
車身型式,大型房車,大型房車,大型房車
動力型式,汽油,汽油,汽油
變速系統,手自排CVT 7速,手自排CVT 7速,手自排CVT 7速
排氣量,2356cc,2356cc,2356cc
能源局公佈平均油耗,13km/ltr,13km/ltr,13km/ltr
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4880mm,4880mm,4880mm
車寬(mm),1850mm,1850mm,1850mm
車高(mm),1465mm,1465mm,1465mm
軸距(mm),2775mm,2775mm,2775mm
車重(kg),1495kg,1495kg,1525kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),70L,70L,70L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,11.1,11.1,11.1
最大馬力,188hp@6400rpm,188hp@6400rpm,188hp@6400rpm
最大扭力,25.0kgm@3900rpm,25.0kgm@3900rpm,25.0kgm@3900rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/60R16,215/60R16,225/50R17
後輪尺碼,215/60R16,215/60R16,225/50R17
電動天窗,-,-,●
感應式雨刷,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡方向指示燈,●,●,●
方向盤換檔,●,●,●
旅程電腦,●,●,●
中央顯示幕,-,●,●
Keyless免匙系統,-,-,●
衛星導航,-,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
車道偏離警示,-,-,●
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
倒車雷達,前,前,前
倒車顯影系統,-,-,●
防盜系統,●,●,●
座椅高低調整,●,●,●
腰部支撐調整,電動,電動,電動
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,-,-,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,6只,6只,6只
頭燈光源,-,-,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
