Name,Civic Type R 2016 2.0
新車售價,229萬
車身型式,中型掀背車
動力型式,汽油
變速系統,手排6速
排氣量,1996cc
燃料稅,6180元
牌照稅,11230元
車長(mm),4390mm
車寬(mm),1880mm
車高(mm),1466mm
軸距(mm),2594mm
車重(kg),1380kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽缸設計,直列4缸
汽門數,16
壓縮比,9.8
最大馬力,310hp@6500rpm
最大扭力,40.8kgm@2500~4500rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,235/35R19
後輪尺碼,235/35R19
引擎擺放位置,前置
運動外觀套件,●
輪圈規格,19
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,車內
後視鏡加熱/除霧,●
後視鏡電動折疊,標配
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動4向
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,●
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,VSA
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,標配
倒車顯影系統,●
防盜系統,●
駕駛模式選擇,○
座椅材質,皮革
跑車式座椅,●
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,6/4
外部音源接入,AUX-IN、USB
藍牙通訊,●
音響喇叭數量,6
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
後霧燈,●
