Name,HR-V 2018 VTi,HR-V 2018 VTi-S,HR-V 2018 S
新車售價,74.9萬,78.9萬,84.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,無段變速,無段變速,無段變速
排氣量,1799cc,1799cc,1799cc
能源局公佈平均油耗,14.5km/ltr,14.5km/ltr,14.5km/ltr
能源效率等級,2,2,2
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4294mm,4294mm,4294mm
車寬(mm),1772mm,1772mm,1772mm
車高(mm),1605mm,1605mm,1605mm
軸距(mm),2610mm,2610mm,2610mm
車重(kg),1259kg,1265kg,1273kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),437L,437L,437L
前輪距(mm),1535mm,1535mm,1535mm
後輪距(mm),1540mm,1540mm,1540mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.6:1,10.6:1,10.6:1
最大馬力,143hp@6500rpm,143hp@6500rpm,143hp@6500rpm
最大扭力,17.5kgm@4300rpm,17.5kgm@4300rpm,17.5kgm@4300rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置
輪圈規格,17吋,17吋,17吋
後雨刷,●,●,●
後視鏡電動折疊,-,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,-,-,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,-,-,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,-,●,●
側面氣簾,-,-,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BOS/EBD/BA,BOS/EBD/BA,BOS/EBD/BA
動態穩定系統,VSA,VSA,VSA
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,-,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,-,-,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,織布,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,-,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,4,4,6
頭燈光源,鹵素,鹵素,LED
感應頭燈,-,-,●
頭燈水準自動調整,-,-,●
LED日行燈,-,-,●
LED尾燈,●,●,●
前霧燈,-,-,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
