Name,Genesis 2018 3.8L
新車售價,288萬
車身型式,豪華大型房車
動力型式,汽油
變速系統,手自排8速
排氣量,3778cc
能源局公佈平均油耗,6.09km/ltr
能源效率等級,3
燃料稅,9810元
牌照稅,28220元
車長(mm),4990mm
車寬(mm),1890mm
車高(mm),1480mm
軸距(mm),3010mm
車重(kg),2079kg
車門數,4門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,11.5
最大馬力,315hp@6000 rpm
最大扭力,40.5 kgm@5000 rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,四輪碟煞
前輪尺碼,245/40 R19
後輪尺碼,245/35 R19
引擎擺放位置,前置
電動天窗,●
電動開闔尾門/行李蓋,●
輪圈規格,19吋
感應式雨刷,●
後視鏡自動防眩目,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
Keyless免匙系統,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
膝部氣囊,●
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
座椅材質,真皮
前座座椅調整,●
後座座椅調整,●
後座杯架,●
後座扶手,●
外部音源接入,●
藍牙通訊,●
音響喇叭數量,14
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
前霧燈,●
