Name,Grand Starex 2019 尊貴型,Grand Starex 2019 旗艦型
新車售價,137.8萬,149.8萬
車身型式,MPV休旅,MPV休旅
動力型式,柴油,柴油
變速系統,手自排5速,手自排5速
排氣量,2497cc,2497cc
能源局公佈平均油耗,11km/ltr,11km/ltr
能源效率等級,1,1
燃料稅,4320元,4320元
牌照稅,15210元,15210元
車長(mm),5150mm,5150mm
車寬(mm),1920mm,1920mm
車高(mm),1925mm,1925mm
軸距(mm),3200mm,3200mm
車門數,5門,5門
乘客數,8座,8座
油箱容量(L),75L,75L
前輪距(mm),1685mm,1685mm
後輪距(mm),1660mm,1660mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,16.4,16.4
最大馬力,170hp@3600 rpm,170hp@3600 rpm
最大扭力,45kgm@2000~2250 rpm,45kgm@2000~2250 rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/70R16,215/70R16
後輪尺碼,215/70R16,215/70R16
引擎擺放位置,前置,前置
電動天窗,-,○
側滑門,●,●
輪圈規格,16吋鋼圈,16吋
後雨刷,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,-,●
方向盤調整,●,●
多功能方向盤,●,●
旅程電腦,●,●
中控鎖,●,●
恆溫空調,-,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,-,●
側面氣簾,●,-
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,TCS,TCS
主動安全預防系統,-,●
定速系統,●,●
盲點偵測系統,-,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,織布,皮革
座椅高低調整,●,●
前座座椅調整,●,●
後座前後滑移,●,●
後座分離式傾倒,6/4,6/4
第三排座椅,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,-,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,●,●
頭燈光源,鹵素,鹵素
感應頭燈,-,●
前霧燈,●,●
