Name,HD35 2017 長軸,HD35 2017 超長軸
新車售價,103.8萬,106.8萬
車身型式,貨車,貨車
動力型式,柴油,柴油
變速系統,手排5速,手排5速
排氣量,2497cc,2497cc
極速(km/h),149km/h,149km/h
燃料稅,4320元,4320元
牌照稅,15210元,15210元
車長(mm),5345mm,6155mm
車寬(mm),1955mm,1955mm
車高(mm),2240mm,2240mm
軸距(mm),2850mm,3415mm
車重(kg),2385kg,2481kg
車門數,2門,2門
乘客數,3座,3座
油箱容量(L),65L,65L
前輪距(mm),1475mm,1475mm
後輪距(mm),1485mm,1485mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,136hp@3800rpm,136hp@3800rpm
最大扭力,30kgm@1250~3000rpm,30kgm@1250~3000rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,非獨立式,非獨立式
後輪懸吊,葉片彈簧,葉片彈簧
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/65R16C 8PR,205/65R16C 8PR
後輪尺碼,205/65R16C 8PR,205/65R16C 8PR
引擎擺放位置,前置,前置
方向盤調整,手動4向,手動4向
動力方向盤,●,●
中控鎖,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
座椅材質,皮革,皮革
前座座椅調整,●,●
音響系統,●,●
頭燈光源,鹵素,鹵素
